slug,latin_name,common_name,category,family,genus,observations_count
tenthredo-scrophulariae,Tenthredo scrophulariae,Figwort sawfly,insect,Tenthredinidae,Tenthredo,4
torymus-spec,Torymus spec.,Torymid wasps,insect,Torymidae,Torymus,4
trichoptera-indet,Trichoptera indet.,Caddisfly unknown,insect,,,4
vulpia-myuros,Vulpia myuros,Rat's-tail Fescue,plant,Poaceae,Festuca,4
zygiella-x-notata,Zygiella x-notata,Silver-sided Sector Spider,arachnid,Araneidae,Zygiella,4
acleris-holmiana,Acleris holmiana,White-triangle Button,insect,Tortricidae,Acleris,3
adalia-decempunctata,Adalia decempunctata,10-spot Ladybird,insect,Coccinellidae,Adalia,3
aeshna-cyanea,Aeshna cyanea,Southern Hawker,insect,Aeshnidae,Aeshna,3
agonopterix-nervosa,Agonopterix nervosa,Gorse Tip Moth,insect,Depressariidae,Agonopterix,3
agrotis-segetum,Agrotis segetum,Turnip Moth,insect,Noctuidae,Agrotis,3
alcis-repandata,Alcis repandata,Mottled Beauty,insect,Geometridae,Alcis,3
alisma-plantago-aquatica,Alisma plantago-aquatica,Water-plantain,plant,Alismataceae,Alisma,3
anax-parthenope,Anax parthenope,Lesser Emperor,insect,Aeshnidae,Anax,3
andrena-dorsata,Andrena dorsata,Short-fringed Mining Bee,insect,Andrenidae,Andrena,3
anthyllis-vulneraria,Anthyllis vulneraria,Kidney Vetch,plant,Fabaceae,Anthyllis,3
apomyelois-bistriatella,Apomyelois bistriatella,Heath Knot-horn,insect,Pyralidae,Apomyelois,3
araneae-indet,Araneae indet.,Spider unknown,arachnid,,,3
archips-rosana,Archips rosana,Rose Tortrix,insect,Tortricidae,Archips,3
aristotelia-ericinella,Aristotelia ericinella,heather neb,insect,Gelechiidae,Aristotelia,3
arocatus-melanocephalus,Arocatus melanocephalus,Elm Seed Bug,insect,Lygaeidae,Arocatus,3
asplenium-scolopendrium,Asplenium scolopendrium,Hart's-tongue Fern,plant,Aspleniaceae,Asplenium,3
athalia-rosae,Athalia rosae,Turnip sawfly,insect,Tenthredinidae,Athalia,3
athalia-spec,Athalia spec.,Heath Fritillary,insect,Tenthredinidae,Athalia,3
baccha-elongata,Baccha elongata,Common Dainty,insect,Syrphidae,Baccha,3
bolboschoenus-maritimus,Bolboschoenus maritimus,Sea Club-rush,plant,Cyperaceae,Bolboschoenus,3
