slug,latin_name,common_name,category,family,genus,observations_count
noctua-comes,Noctua comes,Lesser Yellow Underwing,insect,Noctuidae,Noctua,7
origanum-vulgare,Origanum vulgare,Wild Marjoram,plant,Lamiaceae,Origanum,7
parietaria-judaica,Parietaria judaica,Pellitory-of-the-wall,plant,Urticaceae,Parietaria,7
polygonum-aviculare,Polygonum aviculare,Knotgrass,plant,Polygonaceae,Polygonum,7
rhinanthus-angustifolius,Rhinanthus angustifolius,Greater Yellow-rattle,plant,Orobanchaceae,Rhinanthus,7
rubus-caesius,Rubus caesius,Dewberry,plant,Rosaceae,Rubus,7
sapygina-decemguttata,Sapygina decemguttata,Ten-spotted club wasp,insect,Sapygidae,Sapygina,7
scrophularia-nodosa,Scrophularia nodosa,Common Figwort,plant,Scrophulariaceae,Scrophularia,7
sonchus-arvensis,Sonchus arvensis,Perennial Sow-thistle,plant,Asteraceae,Sonchus,7
sonchus-palustris,Sonchus palustris,Marsh Sow-thistle,plant,Asteraceae,Sonchus,7
stictoleptura-rubra,Stictoleptura rubra,Red Pine Longhorn Beetle,insect,Cerambycidae,Stictoleptura,7
tetragnatha-spec,Tetragnatha spec.,Long-jawed Orbweaver unknown,arachnid,Tetragnathidae,Tetragnatha,7
tragopogon-pratensis-subsp-orientalis,Tragopogon pratensis subsp. orientalis,Oriental Salsify,plant,Asteraceae,Tragopogon,7
triticum-aestivum,Triticum aestivum,Bread Wheat,plant,Poaceae,Triticum,7
vespa-velutina,Vespa velutina,Asian Hornet,insect,Vespidae,Vespa,7
acleris-hastiana,Acleris hastiana,Sallow Button,insect,Tortricidae,Acleris,6
aglais-io,Aglais io,Peacock,insect,Nymphalidae,Aglais,6
arion-rufus-vulgaris,Arion rufus/vulgaris,Large Red Slug,mollusc,Arionidae,Arion,6
bucculatrix-cidarella,Bucculatrix cidarella,Alder Bent-wing,insect,Bucculatricidae,Bucculatrix,6
buteo-buteo,Buteo buteo,Common Buzzard,bird,Accipitridae,Buteo,6
campanula-rapunculus,Campanula rapunculus,Rampion Bellflower,plant,Campanulaceae,Campanula,6
cydalima-perspectalis,Cydalima perspectalis,Box-tree Moth,insect,Crambidae,Cydalima,6
cymbalaria-muralis,Cymbalaria muralis,Ivy-leaved Toadflax,plant,Plantaginaceae,Cymbalaria,6
dipsacus-fullonum,Dipsacus fullonum,Wild Teasel,plant,Caprifoliaceae,Dipsacus,6
eristalis-intricaria,Eristalis intricaria,Furry Drone Fly,insect,Syrphidae,Eristalis,6
