slug,latin_name,common_name,category,family,genus,observations_count
daldinia-concentrica,Daldinia concentrica,King Alfred's Cakes,fungus,Hypoxylaceae,Daldinia,1
dalopius-marginatus,Dalopius marginatus,margined click beetle,insect,Elateridae,Dalopius,1
dasineura-acrophila,Dasineura acrophila,maple gall midge,insect,Cecidomyiidae,Dasineura,1
dasineura-aparines,Dasineura aparines,cleavers gall midge,insect,Cecidomyiidae,Dasineura,1
dasineura-gleditchiae,Dasineura gleditchiae,Honeylocust podgall midge,insect,Cecidomyiidae,Dasineura,1
dasineura-plicatrix,Dasineura plicatrix,Blackberry Leaf Midge,insect,Cecidomyiidae,Dasineura,1
dasytes-spec,Dasytes spec.,Dasytes soft-winged flower beetles,insect,Melyridae,Dasytes,1
datura-stramonium,Datura stramonium,Thorn-apple,plant,Solanaceae,Datura,1
datura-stramonium-var-tatula,Datura stramonium var. tatula,purple thorn-apple,plant,Solanaceae,Datura,1
deilephila-porcellus,Deilephila porcellus,Small Elephant Hawk-moth,insect,Sphingidae,Deilephila,1
delichon-urbicum,Delichon urbicum,Western House Martin,bird,Hirundinidae,Delichon,1
delphinium-staphisagria,Delphinium staphisagria,Stavesacre,plant,Ranunculaceae,Staphisagria,1
depressaria-radiella,Depressaria radiella,Parsnip Webworm,insect,Depressariidae,Depressaria,1
deraeocoris-trifasciatus,Deraeocoris trifasciatus,three-banded plant bug,insect,Miridae,Deraeocoris,1
derephysia-foliacea,Derephysia foliacea,Foliaceous lace bug,insect,Tingidae,Derephysia,1
deroceras-laeve,Deroceras laeve,Meadow slug,mollusc,Agriolimacidae,Deroceras,1
deroceras-reticulatum,Deroceras reticulatum,Netted Slug,mollusc,Agriolimacidae,Deroceras,1
dexiosoma-caninum,Dexiosoma caninum,Dexiosoma parasitoid fly,insect,Tachinidae,Dexiosoma,1
diachrysia-chrysitis,Diachrysia chrysitis,Burnished Brass,insect,Noctuidae,Diachrysia,1
dichetophora-obliterata,Dichetophora obliterata,Dichetophora marsh fly,insect,Sciomyzidae,Dichetophora,1
dichomeris-marginella,Dichomeris marginella,Juniper Webber,insect,Gelechiidae,Dichomeris,1
dichrooscytus-intermedius,Dichrooscytus intermedius,Dichrooscytus plant bug,insect,Miridae,Dichrooscytus,1
dichrooscytus-rufipennis,Dichrooscytus rufipennis,Red-winged plant bug,insect,Miridae,Dichrooscytus,1
dictyna-arundinacea,Dictyna arundinacea,Common mesh-weaver,arachnid,Dictynidae,Dictyna,1
dicyphus-globulifer,Dicyphus globulifer,Globular-glandular plant bug,insect,Miridae,Dicyphus,1
