slug,latin_name,common_name,category,family,genus,observations_count
bromus-racemosus,Bromus racemosus,Smooth Brome,plant,Poaceae,Bromus,1
bromus-sitchensis,Bromus sitchensis,Alaska Brome,plant,Poaceae,Bromus,1
bryotropha-basaltinella,Bryotropha basaltinella,thatch neb,insect,Gelechiidae,Bryotropha,1
bunias-orientalis,Bunias orientalis,Warty Cabbage,plant,Brassicaceae,Bunias,1
byturus-spec,Byturus spec.,Fruitworm beetles,insect,Byturidae,Byturus,1
calliphoridae-indet,Calliphoridae indet.,Blow Flies,insect,Calliphoridae,,1
calocybe-gambosa,Calocybe gambosa,St. George's mushroom,fungus,Lyophyllaceae,Calocybe,1
calopteryx-splendens,Calopteryx splendens,Banded Demoiselle,insect,Calopterygidae,Calopteryx,1
caloptilia-cuculipennella,Caloptilia cuculipennella,Feathered slender,insect,Gracillariidae,Caloptilia,1
caloptilia-hemidactylella,Caloptilia hemidactylella,Sycamore slender,insect,Gracillariidae,Caloptilia,1
caloptilia-spec,Caloptilia spec.,Leaf blotch miners,insect,Gracillariidae,Caloptilia,1
campanula-rotundifolia,Campanula rotundifolia,Harebell,plant,Campanulaceae,Campanula,1
candelariella-vitellina,Candelariella vitellina,Common Goldspeck,fungus,Candelariaceae,Candelariella,1
cantharis-fusca,Cantharis fusca,Dark Sailor Beetle,insect,Cantharidae,Cantharis,1
cardamine-flexuosa,Cardamine flexuosa,Wavy Bitter-cress,plant,Brassicaceae,Cardamine,1
carex-leporina,Carex leporina,Oval Sedge,plant,Cyperaceae,Carex,1
carex-otrubae,Carex otrubae,False Fox-sedge,plant,Cyperaceae,Carex,1
carex-spicata,Carex spicata,Spiked Sedge,plant,Cyperaceae,Carex,1
carex-sylvatica,Carex sylvatica,Wood-sedge,plant,Cyperaceae,Carex,1
carpocoris-spec,Carpocoris spec.,Carpocoris shield bugs,insect,Pentatomidae,Carpocoris,1
caryocolum-fischerella,Caryocolum fischerella,Caryocolum moth,insect,Gelechiidae,Caryocolum,1
castor-spec,Castor spec.,Beaver unknown,mammal,Castoridae,Castor,1
catapodium-rigidum,Catapodium rigidum,Fern-grass,plant,Poaceae,Catapodium,1
catocala-fraxini,Catocala fraxini,Clifden Nonpareil,insect,Erebidae,Catocala,1
celypha-siderana,Celypha siderana,Phiaris tortrix moth,insect,Tortricidae,Phiaris,1
