slug,latin_name,common_name,category,family,genus,observations_count
idaea-seriata,Idaea seriata,Small Dusty Wave,insect,Geometridae,Idaea,18
idaea-fuscovenosa,Idaea fuscovenosa,Dwarf Cream Wave,insect,Geometridae,Idaea,17
meconema-spec,Meconema spec.,Quiet-calling Katydids,insect,Tettigoniidae,Meconema,17
axylia-putris,Axylia putris,Flame,insect,Noctuidae,Axylia,16
camptogramma-bilineata,Camptogramma bilineata,Yellow Shell,insect,Geometridae,Camptogramma,16
crambus-pascuella,Crambus pascuella,Inlaid Grass-veneer,insect,Crambidae,Crambus,16
lucilia-spec,Lucilia spec.,Greenbottle Flies,other,,,16
polistes-dominula,Polistes dominula,European Paper Wasp,insect,Eumenidae,Polistes,16
stachys-sylvatica,Stachys sylvatica,Hedge Woundwort,plant,Lamiaceae,Stachys,16
yponomeuta-spec,Yponomeuta spec.,Small Ermine Moths,insect,Yponomeutidae,Yponomeuta,16
hemithea-aestivaria,Hemithea aestivaria,Common Emerald,insect,Geometridae,Hemithea,15
oligia-spec,Oligia spec.,Minor unknown,insect,Noctuidae,Oligia,15
peribatodes-rhomboidaria,Peribatodes rhomboidaria,Willow Beauty,insect,Geometridae,Peribatodes,15
aeshna-isoceles,Aeshna isoceles,Green-eyed Hawker,insect,Aeshnidae,Aeshna,14
chironomidae-indet,Chironomidae indet.,Unidentified Non-biting Midge,insect,Chironomidae,,14
harmonia-axyridis-f-spectabilis,Harmonia axyridis f. spectabilis,Harlequin Ladybird f. spectabilis,insect,Coccinellidae,Harmonia,14
lagria-spec,Lagria spec.,Lagriid beetles,insect,Tenebrionidae,Lagria,14
mythimna-impura,Mythimna impura,Smoky Wainscot,insect,Noctuidae,Mythimna,14
oenothera-spec,Oenothera spec.,Evening primrose unknown,plant,Onagraceae,Oenothera,14
riparia-riparia,Riparia riparia,Sand Martin,bird,Hirundinidae,Riparia,14
sphaerophoria-spec,Sphaerophoria spec.,Globetails,insect,Syrphidae,Sphaerophoria,14
stachys-palustris,Stachys palustris,Marsh Woundwort,plant,Lamiaceae,Stachys,14
altica-spec,Altica spec.,Metallic Flea Beetles,insect,Chrysomelidae,Altica,13
coleophora-spec,Coleophora spec.,Casebearers,other,,,13
gasteruption-spec,Gasteruption spec.,Carrot Wasp unknown,insect,Gasteruptiidae,Gasteruption,13
