slug,latin_name,common_name,category,family,genus,observations_count
malva-sylvestris-cultivar,Malva sylvestris (cultivar),Common mallow (cultivar),plant,Malvaceae,Malva,9
nycticorax-nycticorax,Nycticorax nycticorax,Black-crowned Night Heron,bird,Ardeidae,Nycticorax,9
oenothera-x-fallax-o-biennis-x-o-glazioviana,Oenothera x fallax (O. biennis x O. glazioviana),Intermediate Evening-Primrose,plant,Onagraceae,Oenothera,9
panorpa-vulgaris,Panorpa vulgaris,Meadow Scorpionfly,insect,Panorpidae,Panorpa,9
potentilla-anserina,Potentilla anserina,Silverweed,plant,Rosaceae,Argentina,9
rhaphigaster-nebulosa,Rhaphigaster nebulosa,Mottled Shieldbug,insect,Pentatomidae,Rhaphigaster,9
scoparia-ambigualis,Scoparia ambigualis,European Common Grey,insect,Crambidae,Scoparia,9
vicia-villosa,Vicia villosa,Fodder Vetch,plant,Fabaceae,Vicia,9
ancistrocerus-spec,Ancistrocerus spec.,Mason wasps,other,,,8
anthemis-tinctoria,Anthemis tinctoria,Yellow Chamomile,plant,Asteraceae,Cota,8
auplopus-carbonarius,Auplopus carbonarius,Potter Spider Wasp,insect,Pompilidae,Auplopus,8
borkhausenia-nefrax,Borkhausenia nefrax,Concealer moth,insect,Oecophoridae,Borkhausenia,8
catoptria-verellus,Catoptria verellus,Marbled Grass-veneer,insect,Crambidae,Catoptria,8
colletes-spec,Colletes spec.,Beach Dune Cellophane Bee,insect,Colletidae,Colletes,8
emmelina-monodactyla,Emmelina monodactyla,Common Plume,insect,Pterophoridae,Emmelina,8
eudonia-lacustrata,Eudonia lacustrata,Little grey,insect,Crambidae,Eudonia,8
eurydema-oleracea,Eurydema oleracea,Cabbage Bug,insect,Pentatomidae,Eurydema,8
gomphocerinae-indet,Gomphocerinae indet.,Short-horned Grasshopper spec.,other,,,8
gonocerus-acuteangulatus,Gonocerus acuteangulatus,Box Bug,insect,Coreidae,Gonocerus,8
leucania-obsoleta,Leucania obsoleta,Obscure Wainscot,insect,Noctuidae,Leucania,8
melilotus-altissimus-melilotus-officinalis,Melilotus altissimus + Melilotus officinalis,Tall melilot and ribbed melilot (mixed),other,,,8
mononychus-punctumalbum,Mononychus punctumalbum,Iris weevil,insect,Curculionidae,Mononychus,8
nephopterix-angustella,Nephopterix angustella,Spindle Knot-horn,insect,Pyralidae,Nephopterix,8
pyralis-farinalis,Pyralis farinalis,Meal moth,insect,Pyralidae,Pyralis,8
rumex-crispus,Rumex crispus,Curled Dock,plant,Polygonaceae,Rumex,8
