slug,latin_name,common_name,category,family,genus,observations_count
hemerocallis-fulva,Hemerocallis fulva,Orange Day-lily,plant,Asphodelaceae,Hemerocallis,1
heptatoma-pellucens,Heptatoma pellucens,horse fly,insect,Tabanidae,Heptatoma,1
hercostomus-rusticus,Hercostomus rusticus,long-legged fly,insect,Dolichopodidae,Hercostomus,1
hericium-cirrhatum,Hericium cirrhatum,Tiered tooth fungus,fungus,Hericiaceae,Hericium,1
herminia-tarsicrinalis,Herminia tarsicrinalis,Shaded Fan-foot,insect,Erebidae,Herminia,1
heteroptera-indet,Heteroptera indet.,Bug unknown,insect,Sphaeroceridae,Coproica,1
himacerus-apterus,Himacerus apterus,Tree Damsel Bug,insect,Nabidae,Himacerus,1
hippodamia-variegata,Hippodamia variegata,Adonis' ladybird,insect,Coccinellidae,Hippodamia,1
hippophae-rhamnoides,Hippophae rhamnoides,Sea-buckthorn,plant,Elaeagnaceae,Hippophae,1
hirschfeldia-incana,Hirschfeldia incana,Hoary Mustard,plant,Brassicaceae,Hirschfeldia,1
holcus-mollis,Holcus mollis,Creeping Soft-grass,plant,Poaceae,Holcus,1
holocnemus-pluchei,Holocnemus pluchei,Marbled cellar spider,arachnid,Pholcidae,Holocnemus,1
homoeosoma-sinuella,Homoeosoma sinuella,Twin-barred Knot-horn,insect,Pyralidae,Homoeosoma,1
hordeum-murinum-subsp-murinum,Hordeum murinum subsp. murinum,Wall Barley s.s.,plant,Poaceae,Hordeum,1
hordeum-secalinum,Hordeum secalinum,Meadow Barley,plant,Poaceae,Hordeum,1
hordeum-vulgare,Hordeum vulgare,Six-row Barley,plant,Poaceae,Hordeum,1
hyalopterus-pruni,Hyalopterus pruni,Mealy plum aphid,insect,Aphididae,Hyalopterus,1
hybomitra-solstitialis,Hybomitra solstitialis,Scarce Forest Horse Fly,insect,Tabanidae,Hybomitra,1
hybos-femoratus,Hybos femoratus,dance fly,insect,Hybotidae,Hybos,1
hydriomena-furcata,Hydriomena furcata,July Highflyer,insect,Geometridae,Hydriomena,1
hydrobius-fuscipes,Hydrobius fuscipes,water scavenger beetle,insect,Hydrophilidae,Hydrobius,1
hydropsyche-spec,Hydropsyche spec.,Spotted Sedges,other,,,1
hylaeus-gibbus-gr,Hylaeus gibbus-gr.,Hylaeus confusus/incongruus/gibbus/pictus,insect,Colletidae,Hylaeus,1
hylaeus-hyalinatus,Hylaeus hyalinatus,Hairy Yellow-face Bee,insect,Colletidae,Hylaeus,1
hylaeus-nigritus,Hylaeus nigritus,Black Masked Bee,insect,Colletidae,Hylaeus,1
