slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
hoplodrina-octogenaria,insect,tree-bark;ground-park,idle-only,override,Nocturnal noctuid; rests motionless on bark by day — flower-visitor default does not apply,
sterna-hirundo,bird,sky-only;water-surface,sky-looper;water-drifter,override,Aerial fishing bird; spends almost all visible time over open water — tree-canopy default does not apply,
tyria-jacobaeae,insect,flower-visitor;ground-park,flower-bobber;idle-only,default,,
acrocephalus-scirpaceus,bird,water-edge;tree-canopy,tree-flitter;idle-only,override,Strictly reedbed bird; tree-canopy default is incorrect — water-edge dominates,
caradrina-morpheus,insect,tree-bark;ground-park,idle-only,override,Nocturnal noctuid; rests on bark/walls by day — flower-visitor default does not apply,
larus-argentatus,bird,anywhere;wall-and-roof,sky-looper;urban-walker,override,Roof-nesting urban generalist gull; soars and street-forages — tree-canopy default does not apply,
ciconia-ciconia,bird,ground-park;water-edge,park-roamer;water-edge-stalker,override,Large open-country forager; not a canopy bird — tree-canopy default does not apply,
polygonia-c-album,insect,flower-visitor;tree-canopy,flower-bobber;idle-only,default,,
cichorium-intybus,plant,ground-urban;ground-park,none,override,Pioneer of roadsides and urban disturbed ground — ground-urban dominant over default ground-park,
achillea-millefolium,plant,ground-park,none,default,,
issus-coleoptratus,insect,tree-bark;tree-canopy,idle-only,override,Bark/stem sap-sucker relying on camouflage; not a flower visitor — flower-visitor default does not apply,
orthetrum-cancellatum,insect,water-edge;water-surface,idle-only;sky-looper,override,Aquatic dragonfly; perches at water edge and patrols over water — flower-visitor default does not apply,
adalia-bipunctata,insect,tree-canopy;tree-bark,idle-only;tree-flitter,override,Aphid predator in tree canopy and bark; not a flower visitor — flower-visitor default does not apply,
dactylorhiza-praetermissa,plant,water-edge;ground-park,none,override,Marsh orchid of damp water margins — water-edge dominant over default ground-park,
securigera-varia,plant,ground-park,none,default,,
senecio-inaequidens,plant,ground-urban;ground-park,none,override,Invasive pioneer of railway/road infrastructure — ground-urban dominant over default ground-park,
malva-sylvestris,plant,ground-urban;ground-park,none,override,Ruderal of pavement bases and wasteland — ground-urban dominant over default ground-park,
plutella-xylostella,insect,ground-park;ground-urban,idle-only,override,Brassica-leaf specialist resting on foliage; not a flower visitor — flower-visitor default does not apply,
silene-dioica,plant,ground-park,none,default,,
agrotis-clavis,insect,ground-park;tree-bark,idle-only,override,Ground-resting cutworm noctuid; not a flower visitor — flower-visitor default does not apply,
ischnura-elegans,insect,water-edge;water-surface,idle-only;sky-looper,override,Aquatic damselfly perching on waterside stems; not a flower visitor — flower-visitor default does not apply,
pasiphila-rectangulata,insect,tree-canopy;tree-bark,idle-only,override,Rosaceous tree canopy moth; larvae feed on apple/hawthorn flowers — flower-visitor default does not apply,
pieris-napi,insect,flower-visitor;ground-park,flower-bobber;idle-only,default,,
carduus-crispus,plant,ground-park,none,default,,
geranium-pratense,plant,ground-park,none,default,,
aphomia-sociella,insect,ground-park;tree-canopy,idle-only,override,Nest parasite of bumblebees in ground; adults rest in vegetation — flower-visitor default does not apply,
cirsium-arvense,plant,ground-park,none,default,,
daucus-carota,plant,ground-park,none,default,,
hedya-nubiferana,insect,tree-canopy;tree-bark,idle-only,override,Rosaceous tree canopy tortrix moth; leaf-roller and bud-borer — flower-visitor default does not apply,
volucella-zonaria,insect,flower-visitor;ground-park,flower-bobber;sky-looper,default,,
