slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
phoenicurus-ochruros,bird,"[wall-and-roof, ground-urban]","[urban-walker, idle-only]",override,Urban specialist that nests on buildings and forages on paved ground; tree-canopy default is wrong.,Male perched on a rooftop or chimney pot showing rufous tail.
pterocarya-fraxinifolia,tree,[tree-rooted],[none],override,Biologically a large tree (Juglandaceae); taxon_group 10 is a GBIF artefact — category corrected to tree.,Full tree in park showing pendulous fruit chains.
araneus-diadematus,arachnid,"[tree-canopy, ground-park]",[idle-only],override,Builds orb-webs in shrubs and tree branches; tree-canopy more precise than default anywhere.,Large female in centre of dewy orb-web between branches.
convolvulus-sepium,plant,[ground-park],[none],default,Roots in vegetated soil even while climbing; ground-park placement fits.,Large white trumpet flower with pink stripes.
cucullia-scrophulariae,insect,[ground-park],[idle-only],override,Nocturnal moth; rests motionless by day on vegetation — flower-visitor and flower-bobber are wrong.,Larva (striped yellow-black-white) on figwort or mullein stem.
marpissa-muscosa,arachnid,"[tree-bark, wall-and-roof]",[idle-only],override,Flat-bodied salticid specialized for wooden posts and tree bark; anywhere default too vague.,Spider on weathered fence post or oak bark in full sun.
mystacides-longicornis,insect,"[water-edge, water-body]","[water-edge-stalker, idle-only]",override,Aquatic caddisfly; larva in water-body habitat and adult rests at water-edge — flower-visitor default wrong.,Adult caddisfly resting on waterside vegetation near a canal.
phalacrocorax-carbo,bird,"[water-edge, water-body]","[water-edge-stalker, idle-only]",override,Water bird; dives in canals and dries wings on jetties — tree-canopy default entirely wrong.,Bird in wing-drying pose on canal wall or jetty post.
philodromus-spec,arachnid,"[tree-bark, tree-canopy]",[idle-only],override,Arboreal hunting spider on bark and foliage; anywhere default undersells bark-and-leaf preference.,Spider on tree bark or leaf surface.
polycarpon-tetraphyllum,plant,[ground-urban],[none],override,Grows in pavement cracks and warm urban surfaces; not a park-lawn plant.,Tiny plant in pavement crack near tram tracks.
polydrusus-formosus,insect,[tree-canopy],[idle-only],override,Leaf-feeding weevil on deciduous tree foliage; flower-visitor default wrong for a bark-and-leaf beetle.,Metallic green weevil on fresh alder or willow leaf.
alcea-rosea,plant,"[ground-urban, ground-park]",[none],override,Amsterdam populations mostly at base of canal walls and sunny facades; ground-urban dominant.,Tall plant with pink flowers growing at base of brick canal-house wall.
artemisia-vulgaris,plant,"[ground-urban, ground-park]",[none],override,Classic nitrophilous ruderal of disturbed built-up ground and road verges.,Grey-green aromatic foliage on a railway verge or building site margin.
chenopodium-album,plant,"[ground-urban, ground-park]",[none],override,Nitrophilous annual of bare disturbed ground and building sites; not established park turf.,Mealy-leafed plant on a rubble edge or allotment margin.
hypochaeris-radicata,plant,[ground-park],[none],default,Established park-lawn perennial; ground-park default fits accurately.,Branched yellow dandelion-like flowers in short park sward.
idaea-seriata,insect,"[ground-park, wall-and-roof]",[idle-only],override,Resting moth on lichen-covered walls and bark; flower-visitor default wrong.,Pale dusty moth resting flat on lichen-covered stone or bark.
lapsana-communis,plant,[ground-park],[none],default,Shaded park-soil annual; ground-park default fits.,Small pale-yellow flowerheads on slender stems under park trees.
potentilla-indica,plant,[ground-park],[none],default,Mat-forming park-lawn creeper; ground-park default fits.,Low rosette with yellow flower and red strawberry-like fruit in park lawn.
salticus-scenicus,arachnid,"[wall-and-roof, ground-urban]",[idle-only],override,Obligate urban-wall hunter; taxonomy doc explicitly names it as wall-and-roof example.,Zebra-patterned spider on sunlit exterior wall or window frame.
aegithalos-caudatus,bird,[tree-canopy],[tree-flitter],default,Small acrobatic canopy bird moving in family parties; default fits perfectly.,Fluffy long-tailed bird clinging to thin branch.
centaurea-jacea,plant,[ground-park],[none],default,Park meadow and verge perennial; ground-park default fits.,Purple knapweed flowerhead in meadow-edge grasses.
idaea-fuscovenosa,insect,"[ground-park, tree-bark]",[idle-only],override,Tiny resting moth on bark and dead wood; flower-visitor default wrong.,Pale moth resting with wings flat on bark or dead wood.
jacobaea-vulgaris,plant,[ground-park],[none],default,Park-margin biennial on open grassland; ground-park default fits.,Bright yellow daisy clusters on branched stems in unmown verge.
lythrum-salicaria,plant,"[water-edge, ground-park]",[none],override,Obligate waterside plant; ground-park default is too dry — water-edge is biologically correct.,Tall magenta spikes along canal margin in late summer.
meconema-spec,insect,[tree-canopy],[idle-only],override,Tree-canopy predatory bush-cricket; rests motionless by day in broadleaved canopy — flower-visitor default wrong.,Pale-green bush-cricket on oak or lime leaf at night.
axylia-putris,insect,"[ground-park, tree-bark]",[idle-only],override,Bark-resting noctuid moth; default flower-visitor wrong — larvae on low herbs and adults rest on bark.,Orange-brown moth resting against bark or dry grass stem.
camptogramma-bilineata,insect,"[ground-park, ground-urban]",[idle-only],override,Wall-and-vegetation resting geometrid moth; flower-visitor default wrong.,Yellow-banded moth resting flat on a wall or fence.
crambus-pascuella,insect,[ground-park],[idle-only],override,Grass moth resting on grass stems in park lawns; flower-visitor default wrong.,Head-down cigar-winged moth on grass stem.
falco-peregrinus,bird,"[wall-and-roof, sky-only]","[sky-looper, idle-only]",override,Nests on tall buildings; hunts over open city sky — tree-canopy default wrong for an urban raptor.,Bird perched on a church tower ledge or in steep stoop over cityscape.
lotus-corniculatus,plant,[ground-park],[none],default,Short-grass park and verge perennial; ground-park default fits.,Yellow-and-orange flowers with claw-shaped seed pods in dry park turf.
