slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
propylea-quatuordecimpunctata,insect,tree-canopy;flower-visitor,tree-flitter;idle-only,override,Aphid-hunting ladybird primarily found in tree/shrub foliage; flower-visitor secondary for warm-season foraging on umbellifers,Close-up on leaf showing chequered yellow-black pattern; aphid colony in background
psyllobora-vigintiduopunctata,insect,flower-visitor;ground-park,flower-bobber;idle-only,override,Mildew-feeding ladybird forages on low herbaceous plants not tree canopy; ground-park secondary for low vegetation habitat,Tiny yellow-black spotted beetle on low flower head or herb leaf
riparia-riparia,bird,sky-only;water-edge,sky-looper;idle-only,override,Aerial insectivore hunting over water; nests in sandy water-edge banks; no tree association,Sand martin in flight over open water or perched at nest hole in bank
sicus-ferrugineus,insect,flower-visitor,flower-bobber;idle-only,default,Conopid fly; adults feed on umbellifer nectar while parasitising bumblebees; default flower-visitor fits well,Reddish bee-fly perched on white umbellifer flower head
sphaerophoria-spec,insect,flower-visitor,flower-bobber;idle-only,default,Hoverfly genus; adults hover over and visit a wide range of flowers; default flower-visitor/flower-bobber perfect fit,Slender yellow-black hoverfly hovering over or perched on flower
stachys-palustris,plant,water-edge;ground-park,none,override,Marsh plant strongly associated with canal banks and ditch edges; water-edge more accurate than default ground-park dominant,Pink whorled flower spike growing at Amsterdam canal bank margin
acer-pseudoplatanus,tree,tree-rooted,none,override,Biologically a tree (Sapindaceae) despite taxon_group 10 in GBIF; category corrected to tree with tree-rooted placement,Full sycamore tree in park or street with palmate leaves and winged samara fruits
altica-spec,insect,ground-park;water-edge,idle-only,override,Leaf-feeding flea beetle associated with willowherb on damp ground and canal banks; not a flower visitor; sits motionless between jumps,Metallic blue flea beetle on leaf showing shot-hole feeding damage
andrena-bicolor,insect,flower-visitor;ground-park,flower-bobber;idle-only,override,Solitary bee; flower-visitor dominant for foraging; ground-park secondary for bare-soil nesting activity visible to observers,Small mining bee entering or emerging from ground nest hole in bare soil
anthrax-anthrax,insect,ground-park;flower-visitor,idle-only;flower-bobber,override,Cleptoparasite of soil-nesting bees; basks on warm bare ground (idle-only dominant); secondary flower visits; ground-park dominant habitat,Black hairy bee-fly basking flat on warm sandy soil or stone
coenagrion-puella,insect,water-edge;water-surface,idle-only;flower-bobber,override,Aquatic insect (damselfly); adults perch on waterside vegetation and make short sallies; entirely water-edge associated,Powder-blue and black damselfly perched on reed stem at Amsterdam canal
cygnus-olor,bird,water-surface;water-edge,water-drifter;idle-only,override,Iconic canal bird; drifts on water; rests on bank near nest; exact match to BEHAVIOR_TAXONOMY.md canonical example,Mute swan drifting on Amsterdam canal with arched neck
gasteruption-spec,insect,flower-visitor,flower-bobber;idle-only,default,Parasitoid wasp; adults reliable umbellifer flower visitors; default flower-visitor/flower-bobber fits well,Slender long-necked wasp with curved abdomen on white umbellifer flower
geranium-robertianum,plant,ground-park;tree-bark,none,override,Grows in shaded ground at base of walls and tree roots; tree-bark/wall-base secondary captures its characteristic niche,Small pink flowers and strongly scented leaves at base of old wall or tree roots
hypericum-perforatum,plant,ground-park,none,default,Open sunny dry grassland and park-margin plant; default ground-park/none correct,Yellow five-petalled flowers on upright stem; translucent leaf glands visible when backlit
idaea-rusticata,insect,wall-and-roof;ground-park,idle-only,override,Day-resting geometrid pressed against warm masonry and bark; wall-and-roof dominant; ground-park secondary for larval foodplants; no adult feeding,Pale straw moth resting flat against old Amsterdam brick wall
limnephilus-marmoratus,insect,water-edge;water-body,idle-only,override,Caddisfly; larvae aquatic in canals (water-body); adults rest at water-edge; no flower-visiting; flower-visitor default wrong,Caddisfly adult resting on waterside vegetation or stone near Amsterdam canal
linaria-vulgaris,plant,ground-park;ground-urban,none,override,Colonises both park margins and pavement/railway edges; ground-urban secondary is biologically accurate,Yellow snapdragon-like flowers on dry roadside bank or pavement edge
lomaspilis-marginata,insect,tree-canopy;tree-bark,idle-only,override,Willow/poplar canopy moth; larvae feed on Salix/Populus; adults rest on leaves and bark; no flower visiting,White moth with dark border resting on willow leaf at canal bank
mareca-strepera,bird,water-surface;water-edge,water-drifter;idle-only,override,Dabbling duck entirely water-associated; drifts and dabbles; rests on bank; no pavement begging unlike Mallard,Gadwall pair on Amsterdam canal; male grey-brown with black rear
nephrotoma-quadrifaria,insect,ground-park,idle-only,override,Large patterned cranefly resting on low vegetation; larvae in moist park soil; does not visit flowers; flower-visitor default wrong,Yellow-and-black banded cranefly resting on park vegetation with drooping legs
pentatoma-rufipes,insect,tree-canopy;tree-bark,idle-only,override,Tree-feeding shieldbug on broadleaved canopy (oak/alder/hazel); overwinters under bark; no flower visiting,Bronze-green shieldbug with red-orange legs on oak leaf
sisymbrium-officinale,plant,ground-urban;ground-park,none,override,Strongly urban weed of pavement cracks and building bases; ground-urban more accurate as dominant than default ground-park,Tall wiry plant with small yellow flowers and erect seed pods at Amsterdam pavement edge
zygaena-filipendulae,insect,flower-visitor;ground-park,flower-bobber;idle-only,override,Day-flying flower-visiting moth; ground-park secondary for larval grassland habitat on Bird's-foot Trefoil; explicit flower-bobber fits this conspicuous visitor,Metallic green moth with six crimson spots feeding on thistle or Knautia flower
acleris-forsskaleana,insect,tree-canopy,idle-only,override,Maple leaf-rolling tortrix; entire life cycle in Acer canopy; rests cryptically on leaves and bark; no flower visiting,Small pale moth resting on maple leaf or bark surface
andrena-flavipes,insect,flower-visitor;ground-park,flower-bobber;idle-only,override,Abundant mining bee with visible soil nesting aggregations in parks; dual flower-visitor + ground-park ecology prominent in observations,Yellow-legged mining bee at bare-soil nest entrance in sunny park path edge
anthomyiidae-indet,insect,ground-park;flower-visitor,idle-only;flower-bobber,override,Root-fly family with soil/plant larval ecology; ground-park dominant over default flower-visitor to reflect family-level ground biology,Small greyish fly resting on low park vegetation
anthriscus-sylvestris,plant,ground-park;water-edge,none,override,Common on both park margins and canal banks; water-edge secondary is biologically significant in Amsterdam context,Dense white umbellifer stands along Amsterdam canal bank in spring
apamea-monoglypha,insect,ground-park,idle-only,override,Grass-root noctuid moth; entirely ground/park associated; nocturnal; no flower visiting; rests on bark by day,Dark brown variably patterned moth resting against bark or wooden post
calamagrostis-epigejos,plant,ground-park;water-edge,none,override,Robust grass of park margins and railway banks; water-edge secondary for drier canal embankments; wind-pollinated not flower-visitor,Tall feathery purple-tinged grass panicles on Amsterdam railway embankment or park edge
