slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
magnoliopsida,plant,ground-park,none,default,Broad class placeholder — plant default fits as the safest representative assignment.,A mixed herbaceous verge with visible dicot forbs in an Amsterdam park
oryctolagus-cuniculus,mammal,ground-park,park-roamer,default,Mammal defaults fit exactly — ground-dwelling grazer in vegetated park space.,Rabbit grazing on open lawn in Vondelpark or Amsterdamse Bos
phasianus-colchicus,bird,ground-park,park-roamer,override,Ground bird never found in canopy; park-roamer matches its slow foraging stride.,Pheasant walking through long grass in a park clearing
philoscia-muscorum,other,ground-park,idle-only,override,Terrestrial isopod (crustacean not insect); category overridden to other; ground-park matches damp litter habitat; movement negligible so idle-only.,Woodlouse on damp leaf litter or under a log
pyrrhocoris-apterus,insect,ground-park,idle-only,override,Seed-feeding ground insect; clusters motionlessly at base of linden trees — flower-visitor and flower-bobber both wrong.,Dense cluster of firebugs at the base of a linden trunk on bare soil
rhinophora-lepida,insect,ground-park,flower-bobber,override,Adult flower visitor on umbellifers in park habitats; larva parasitoid of woodlice; ground-park preferred over flower-visitor as dominant since adults are seen low on vegetation.,Adult fly on an umbellifer flower head in a park margin
textrix-denticulata,arachnid,wall-and-roof,idle-only,override,Funnel-web spider of masonry and stone walls; wall-and-roof overrides anywhere; web-anchored so idle-only applies.,Funnel web in a crevice of a canal wall or old building stonework
thereva-nobilitata,insect,ground-park,idle-only,override,Adults bask on bare ground and do not feed at flowers; larvae predatory in soil — flower-visitor and flower-bobber both wrong.,Stiletto fly basking on bare sandy soil in a sunny park clearing
apterogenum-ypsillon,insect,ground-park,idle-only,override,Nocturnal moth resting cryptically by day on low vegetation or ground; caterpillars feed on ground-level plants — flower-visitor and flower-bobber wrong.,Adult moth resting on a plantain leaf or grass stem at ground level
bufo-bufo,amphibian,water-edge;ground-park,water-edge-stalker;park-roamer,override,Genuinely dual-habitat — breeds at water-edge but terrestrial for most of the year; movement alternates between water patrol and park wandering.,Common Toad at the edge of a Vondelpark pond or on a damp path at night
cepaea-nemoralis,mollusc,ground-park,idle-only,default,Mollusc defaults fit — land snail on vegetated damp ground; movement below animation threshold.,Brown-lipped Snail on leaf litter or a damp stone in a park
cornus-sanguinea,plant,ground-park,none,default,Shrub not tree; plant default (ground-park none) fits.,Dogwood shrub with red stems in winter or white flower clusters in spring
dianthus-deltoides,plant,ground-park,none,default,Ground-level forb of dry sunny grassland; plant default fits.,Maiden Pink flowering on a dry sunny park verge
enoplognatha-ovata-latimana,arachnid,flower-visitor,idle-only,override,Lives in webs on flower heads and seed heads in summer; flower-visitor overrides anywhere; web-anchored so idle-only.,Small spider in a tangle web on a thistle or umbellifer flower head
eristalis-horticola,insect,flower-visitor,flower-bobber,default,Hoverfly adult is a flower visitor; insect defaults apply exactly.,Stripe-winged Drone Fly on a hogweed or thistle flower head
heracleum-sphondylium,plant,ground-park,none,default,Ground-level umbellifer; plant default fits.,Hogweed plant in full bloom along a canal bank or park edge
leptophyes-punctatissima,insect,tree-canopy,idle-only,override,Wingless bush-cricket lives in shrub and low tree foliage; flower-visitor and flower-bobber both wrong; tree-canopy and idle-only match its leaf-surface lifestyle.,Speckled Bush-cricket on a leaf in a hedgerow or low shrub canopy
malva-moschata,plant,ground-park,none,default,Ground-level perennial herb of grassy verges; plant default fits.,Musk-mallow in flower on a park verge or meadow planting
medicago-lupulina,plant,ground-park,none,default,Low-growing legume of disturbed park soils; plant default fits.,Black Medick in flower on a lawn or path edge
panorpa-germanica,insect,ground-park,idle-only,override,Carrion/fruit scavenger of shaded damp hedgerows; not a flower visitor; rests on low vegetation — flower-visitor and flower-bobber wrong.,Scorpionfly perched on a nettle or bramble leaf in shade
phlomis-russeliana,plant,ground-park,none,default,Ornamental ground-level perennial planted in park borders; plant default fits.,Turkish Sage with whorled yellow flowers in a park border planting
pisaura-mirabilis,arachnid,ground-park,idle-only,override,Hunting spider of tall grass and low park vegetation; ground-park overrides anywhere; sits still between hunts so idle-only applies.,Nursery-web Spider on tall grass with egg sac
platyedra-subcinerea,insect,ground-park,idle-only,override,Gelechiid moth; larvae in Malvaceae seed capsules; adults nocturnal and day-resting on low vegetation — flower-visitor and flower-bobber wrong.,Micro-moth resting on a mallow leaf or stem
procambarus-clarkii,other,water-body;water-edge,water-drifter;idle-only,override,Freshwater crayfish not insect — GBIF taxon group incorrect; category overridden to other; lives submerged in canals (water-body dominant) and emerges onto bank at night (water-edge secondary).,Red Swamp Crayfish in a shallow Amsterdam canal or on a canal bank at dusk
schoenobius-gigantella,insect,water-edge,idle-only,override,Reed-stem borer; entire lifecycle in reedbed; adults rest on reed stems by day — flower-visitor and flower-bobber both wrong; water-edge and idle-only correct.,Moth resting on a Phragmites reed stem at a canal margin
silene-latifolia,plant,ground-park,none,default,Ground-level forb of disturbed ground and park margins; plant default fits.,White Campion in flower on a disturbed bank or road verge
sonchus-asper,plant,ground-urban;ground-park,none,override,Abundant pavement-crack and wall-base weed throughout inner Amsterdam as well as parks — ground-urban is the dominant habitat override; ground-park is genuine secondary.,Prickly Sow-thistle growing from a pavement crack on an Amsterdam street
sphaerophoria-scripta,insect,flower-visitor,flower-bobber,default,Common hoverfly; avid flower visitor throughout season; insect defaults apply exactly.,Common Globetail hovering over an umbellifer or composite flower head
tragopogon-pratensis,plant,ground-park,none,default,Ground-level grassland composite; plant default fits.,Goat's-beard seed clock or yellow flower head in a park meadow
anas-platyrhynchos-domesticus,bird,water-surface;ground-urban,water-drifter;urban-walker,override,Semi-feral urban duck; drifts on canal water (dominant) but wades onto pavements to beg — multi-habitat like wild mallard but even more ground-urban biased.,Domestic Mallard waddling on a pavement or drifting on an inner-city canal
