slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
anas-platyrhynchos-f-domesticus,bird,water-surface;ground-urban,water-drifter;urban-walker,override,Domestic duck behaves like mallard — drifts on water and forages on pavements; dual habitat and movement match the mallard multi-class template.,Duck on Amsterdam canal water with other waterfowl
ancylis-achatana,insect,tree-canopy,idle-only,override,Tortricid leaf-roller moth resting on hawthorn or rosaceous tree foliage; not a flower visitor; default overridden to tree-canopy + idle-only.,Adult moth resting on hawthorn leaf with wings flat
anthidium-manicatum,insect,flower-visitor,flower-bobber,default,Solitary bee that actively visits flowers for pollen and nectar; default fits.,Wool carder bee on lavender or woundwort flower
anthomyia-procellaris,insect,ground-park,idle-only,override,Anthomyiid fly associated with decaying organic matter in vegetated ground; not a flower visitor; rests on low vegetation.,Small dark fly basking on leaf in shaded park area
bellis-perennis,plant,ground-park,none,default,Common lawn daisy of park turf; default fits.,Dense daisy lawn in Amsterdam park in spring
caltha-palustris,plant,water-edge,none,override,Obligate wetland plant of ditch and canal margins; must be placed at water-edge not ground-park.,Marsh-marigold flowering at Amsterdam canal edge in April
chrysolina-americana,insect,ground-park,idle-only,override,Leaf beetle that clings to rosemary and lavender shrubs in parks; not a flower visitor; sedentary plant-feeder.,Metallic rosemary beetle on lavender stem
chrysopilus-cristatus,insect,water-edge;ground-park,idle-only,override,Rhagionid snipefly preferring damp canal-edge and humid vegetated margins; rests motionless on leaves; dominant habitat is water-edge.,Black snipefly resting on leaf near canal bank
dasypoda-hirtipes,insect,ground-park,idle-only,override,Ground-nesting mining bee; spends most observed time at nest entrance in sandy soil; flower-visitor default misses the defining ground-nesting behaviour.,Pantaloon bee at burrow entrance in sandy park soil with fan of excavated sand
diplotaxis-tenuifolia,plant,ground-urban,none,override,Perennial wall-rocket of pavement cracks and rubble; urban weed not a park plant; default ground-park overridden to ground-urban.,Wall-rocket growing in Amsterdam pavement crack
epipactis-helleborine,plant,ground-park,none,default,Woodland orchid adapted to shaded park ground; ground-park default fits.,Broad-leaved helleborine in flower under park trees
erigeron-canadensis,plant,ground-urban,none,override,Canadian fleabane is a pavement-crack and rubble-ground coloniser; ground-urban overrides default ground-park.,Canadian fleabane in Amsterdam pavement crack
fraxinus-excelsior,tree,tree-rooted,none,override,Ash is a tree not a plant; GBIF batch category wrong; override category to tree with tree-rooted placement.,Full ash tree crown in Amsterdam park or street
geranium-molle,plant,ground-park,none,default,Common lawn crane's-bill of park turf and path edges; default fits.,Dove's-foot crane's-bill flowers in short grass
hedya-salicella,insect,tree-canopy,idle-only,override,Tortricid moth associated with willows and alders; rests on bark and foliage; not a flower visitor; tree-canopy + idle-only.,White-patterned moth resting on willow leaf
heterocera-indet,insect,ground-park,idle-only,override,Unidentified moth; most moths rest on low vegetation or bark in parks; ground-park + idle-only is the safest broad assignment without species identification.,Unidentified moth at rest on leaf in park vegetation
holcus-lanatus,plant,ground-park,none,default,Perennial grass of park lawns and verges; default fits.,Yorkshire-fog grass flower heads in Amsterdam park
impatiens-glandulifera,plant,water-edge,none,override,Obligate riparian invasive forming tall stands at canal and ditch margins; water-edge overrides default ground-park.,Himalayan balsam colony on Amsterdam canal bank
malva-sylvestris-cultivar,plant,ground-park,none,default,Ornamental mallow cultivar in park beds and borders; default ground-park fits.,Common mallow cultivar in flower in park planting
merodon-equestris,insect,flower-visitor,flower-bobber,default,Hoverfly that visits flowers for nectar as adult; default flower-visitor and flower-bobber fit.,Narcissus bulb fly on spring flower showing bumblebee mimicry
neoitamus-cyanurus,insect,ground-park,idle-only,override,Predatory robber fly that perches motionless on low vegetation and posts in open park areas; not a flower visitor; ambush hunter.,Common awl robber fly perching on bare twig in sunny park clearing
nuphar-lutea,plant,water-surface,none,override,Obligate aquatic plant with floating leaves; must be placed on water-surface not ground-park.,Yellow water-lily floating on Amsterdam canal or park pond
nycticorax-nycticorax,bird,water-edge,idle-only;water-edge-stalker,override,Nocturnal heron that roosts motionless by day at water edges; idle-only dominates for daytime sprite; water-edge-stalker secondary for dusk animation; default tree-canopy/tree-flitter does not apply.,Night heron hunched on Amsterdam canal railing at dusk
oenothera-x-fallax-o-biennis-x-o-glazioviana,plant,ground-urban,none,override,Hybrid evening-primrose of dry disturbed urban ground and roadsides; ground-urban overrides default ground-park.,Evening-primrose colony on Amsterdam waste ground or roadside
panorpa-vulgaris,insect,ground-park,idle-only,override,Scorpionfly scavenging in shaded shrubby park habitat; not a flower visitor; sits motionless on vegetation; ground-park + idle-only correct.,Common scorpionfly resting on leaf in park shrub showing upturned abdomen
papaver-somniferum,plant,ground-park,none,default,Self-seeding ornamental poppy naturalised in parks and on waste ground; ground-park default fits.,Opium poppy flowers in Amsterdam park border
phleum-pratense,plant,ground-park,none,default,Timothy grass of park lawns and verges; default fits.,Timothy grass cylindrical flower heads in park meadow strip
pilosella-aurantiaca,plant,ground-park,none,default,Orange hawkweed naturalised on park lawns; default fits.,Fox-and-cubs orange flowers in Amsterdam park lawn
potentilla-anserina,plant,ground-park,none,default,Silverweed of damp compacted path edges and park margins; ground-park default fits.,Silverweed with silver leaves and yellow flowers on Amsterdam park path edge
rhaphigaster-nebulosa,insect,tree-canopy,idle-only,override,Tree-feeding shieldbug living on lime and elm foliage; not a flower visitor; sits motionless on leaves; default flower-visitor overridden to tree-canopy + idle-only.,Mottled shieldbug on lime or elm leaf in Amsterdam park
