slug,latin_name,taxon_group,family,genus,observations_count
cantharis-livida,Cantharis livida,16,Cantharidae,Cantharis,22
jacobaea-vulgaris-subsp-dunensis,Jacobaea vulgaris subsp. dunensis,10,Asteraceae,Jacobaea,21
ichneumon-xanthorius,Ichneumon xanthorius,17,Ichneumonidae,Ichneumon,20
oecetis-ochracea,Oecetis ochracea,6,Leptoceridae,Oecetis,20
clepsis-dumicolana,Clepsis dumicolana,8,Tortricidae,Clepsis,15
lagria-spec,Lagria spec.,16,Tenebrionidae,Lagria,14
cepaea-spec,Cepaea spec.,7,,,11
scymninae-indet,Scymninae indet.,16,,,11
malva-alcea-malva-moschata,Malva alcea + Malva moschata,10,,,10
anthomyia-procellaris,Anthomyia procellaris,18,Anthomyiidae,Anthomyia,9
malva-sylvestris-cultivar,Malva sylvestris (cultivar),10,Malvaceae,Malva,9
ancistrocerus-spec,Ancistrocerus spec.,17,,,8
borkhausenia-nefrax,Borkhausenia nefrax,8,Oecophoridae,Borkhausenia,8
melilotus-altissimus-melilotus-officinalis,Melilotus altissimus + Melilotus officinalis,10,,,8
tripleurospermum-maritimum-matricaria-chamomilla,Tripleurospermum maritimum + Matricaria chamomilla,10,,,8
trypoxylon-spec,Trypoxylon spec.,17,Crabronidae,Trypoxylon,8
cantharis-spec,Cantharis spec.,16,,,7
dolichomitus-complex,Dolichomitus-complex,17,Ichneumonidae,Dolichomitus,7
sapygina-decemguttata,Sapygina decemguttata,17,Sapygidae,Sapygina,7
eumenes-spec,Eumenes spec.,17,Vespidae,Eumenes,6
scoparia-eudonia-spec,Scoparia/Eudonia spec.,8,Crambidae,Eudonia,6
agraylea-spec,Agraylea spec.,6,Hydroptilidae,Agraylea,5
campyloneura-virgula,Campyloneura virgula,15,Miridae,Campyloneura,5
demeijerea-rufipes,Demeijerea rufipes,18,Chironomidae,Demeijerea,5
leptocerus-tineiformis,Leptocerus tineiformis,6,Leptoceridae,Leptocerus,5
persicaria-lapathifolia-persicaria-maculosa,Persicaria lapathifolia + Persicaria maculosa,10,,,5
swammerdamia-paraswammerdamia-spec,Swammerdamia/Paraswammerdamia spec.,8,Yponomeutidae,Paraswammerdamia,5
auricularia-mesenterica,Auricularia mesenterica,11,Auriculariaceae,Auricularia,4
deraeocoris-flavilinea,Deraeocoris flavilinea,15,Miridae,Deraeocoris,4
dichrorampha-spec,Dichrorampha spec.,8,Tortricidae,Dichrorampha,4
