slug,latin_name,common_name,source
plectosphaerella-alismatis,Plectosphaerella alismatis,Water-plantain wilt fungus,derived
pneumia-nubila-trivialis,Pneumia nubila/trivialis,moth fly,derived
pompilus-cinereus,Pompilus cinereus,grey spider wasp,known
procambarus,Procambarus,crayfish,known
protomyces-macrosporus,Protomyces macrosporus,large-spored leaf blister fungus,derived
psyllopsis-spec,Psyllopsis spec.,ash psyllid,derived
puccinia-aegopodii,Puccinia aegopodii,ground elder rust,derived
puccinia-allii,Puccinia allii,leek rust,known
rhaphium-spec,Rhaphium spec.,long-legged fly,derived
rhembobius-perscrutator,Rhembobius perscrutator,ichneumon wasp,derived
rhogogaster-viridis-s-l,Rhogogaster viridis s.l.,green sawfly,known
sawadaea-bicornis,Sawadaea bicornis,maple powdery mildew,known
sciapus-platypterus,Sciapus platypterus,flat-winged long-legged fly,derived
sciota-rhenella,Sciota rhenella,birch pyralid moth,derived
scymnus-schmidti-gr,Scymnus schmidti-gr,Schmidt's ladybird,derived
sepsis-spec,Sepsis spec.,black scavenger fly,known
sphaeroderma-spec,Sphaeroderma spec.,flea beetle,derived
sphaeromias-spec,Sphaeromias spec.,biting midge,derived
spintherophyta,Spintherophyta,case-bearing leaf beetle,derived
stemonitis-axifera,Stemonitis axifera,chocolate tube slime mould,known
stenolophus-mixtus,Stenolophus mixtus,slender ground beetle,derived
suillia-spec,Suillia spec.,heleomyzid fly,derived
symmorphus-crassicornis,Symmorphus crassicornis,thick-horned mason wasp,derived
symplecta-stictica,Symplecta stictica,spotted crane fly,derived
tachydromia,Tachydromia,dance fly,known
tachysphex-pompiliformis,Tachysphex pompiliformis,spider-hunter digger wasp,derived
tasgius,Tasgius,rove beetle,derived
tenthredo-spec,Tenthredo spec.,sawfly,known
tephritis,Tephritis,picture-winged fly,known
tetrix-spec,Tetrix spec.,groundhopper,known
