slug,latin_name,common_name,source
gelis-spec,Gelis spec.,Gelis parasitoid wasp,derived
gilpinia,Gilpinia,pine sawfly,known
gnophomyia,Gnophomyia,limoniid crane fly,derived
gnophomyia-tristissima,Gnophomyia tristissima,limoniid crane fly,derived
gonioctena-viminalis,Gonioctena viminalis,willow leaf beetle,known
gyrinus,Gyrinus,whirligig beetle,known
harpalinae,Harpalinae,ground beetle,known
harpalus-rubripes,Harpalus rubripes,ground beetle,known
hebecnema-spec,Hebecnema spec.,muscid fly,derived
hedobia-imperialis,Hedobia imperialis,imperial spider beetle,derived
hedychrum-gerstaeckeri,Hedychrum gerstaeckeri,ruby-tailed wasp,known
helina-evecta,Helina evecta,muscid fly,derived
helina-spec,Helina spec.,muscid fly,derived
heptatoma-pellucens,Heptatoma pellucens,horse fly,known
hercostomus-rusticus,Hercostomus rusticus,long-legged fly,known
hesperis,Hesperis,dame's violet,known
hybos-femoratus,Hybos femoratus,dance fly,known
hydrobius-fuscipes,Hydrobius fuscipes,water scavenger beetle,known
ichneumoninae-indet,Ichneumoninae indet.,ichneumon wasp,known
idiocerini,Idiocerini,leafhopper,known
ilisia-maculata,Ilisia maculata,limoniid crane fly,derived
inula-helenium-inula-racemosa,Inula helenium + Inula racemosa,elecampane,known
iteomyia-capreae,Iteomyia capreae,willow gall midge,known
jacobaea-vulgaris-subsp-vulgaris,Jacobaea vulgaris subsp. vulgaris,common ragwort,known
leiobunum-spec-a,Leiobunum spec. A,harvestman,known
limnephilus-flavicornis,Limnephilus flavicornis,yellow-horned caddisfly,known
limnephilus-spec,Limnephilus spec.,caddisfly,known
lindenius-albilabris,Lindenius albilabris,white-lipped digger wasp,derived
liriomyza-strigata,Liriomyza strigata,leaf-miner fly,known
lysimachia-verticillaris,Lysimachia verticillaris,whorled loosestrife,derived
