slug,latin_name,common_name,source
lindneromyia-dorsalis,Lindneromyia dorsalis,flat-footed fly,derived
macrocentrus-spec,Macrocentrus spec.,braconid wasp,derived
megaloceroea-recticornis,Megaloceroea recticornis,straight-horned plant bug,derived
megalocoleus-molliculus,Megalocoleus molliculus,plant bug,derived
melanomya-nana,Melanomya nana,blow fly,derived
microlinyphia-pusilla,Microlinyphia pusilla,dwarf sheet-web spider,known
mystacides-nigra,Mystacides nigra,black longhorn caddisfly,known
nephrotoma-cornicina,Nephrotoma cornicina,tiger crane fly,known
oxybelus-bipunctatus,Oxybelus bipunctatus,spiny digger wasp,derived
palloptera-ustulata,Palloptera ustulata,flutter fly,derived
parasola-plicatilis-sl-incl-galericuliformis-hercules-kuehneri-leiocephala-megasperma-schroeteri,"Parasola plicatilis sl, incl. galericuliformis, hercules, kuehneri, leiocephala, megasperma, schroeteri",pleated inkcap (species complex),known
phaonia-spec,Phaonia spec.,muscid fly,derived
philodromus-aureolus,Philodromus aureolus,golden running crab spider,known
philosepedon-spec,Philosepedon spec.,moth fly,derived
phycitodes-spec,Phycitodes spec.,pyralid moth,derived
phytocoris-ulmi,Phytocoris ulmi,elm plant bug,known
phytomyza-senecionis,Phytomyza senecionis,ragwort leaf miner,known
pinalitus-cervinus,Pinalitus cervinus,plant bug,derived
platypalpus-spec,Platypalpus spec.,dance fly,derived
rhogogaster-spec,Rhogogaster spec.,grass sawfly,derived
rivellia-syngenesiae,Rivellia syngenesiae,signal fly,derived
segestria-bavarica,Segestria bavarica,tube web spider,known
sphaeroderma-testaceum,Sphaeroderma testaceum,thistle flea beetle,known
sylvicola-spec,Sylvicola spec.,window gnat,derived
symmorphus-spec,Symmorphus spec.,mason wasp,derived
syrphini,Syrphini,hoverflies,known
tillus-elongatus,Tillus elongatus,two-coloured checkered beetle,known
trachelospermum,Trachelospermum,star jasmine,known
acanthus-hungaricus,Acanthus hungaricus,Hungarian bear's breeches,known
acer-pseudoplatanus-f-aureovariegatum,Acer pseudoplatanus f. aureovariegatum,golden variegated sycamore,known
