slug,latin_name,common_name,source
orthonotus-rufifrons,Orthonotus rufifrons,Orthonotus plant bug,derived
orthops-basalis,Orthops basalis,Orthops plant bug,derived
orthotylus-marginalis,Orthotylus marginalis,Orthotylus plant bug,derived
otiorhynchus-aurifer,Otiorhynchus aurifer,Golden vine weevil,derived
otiorhynchus-pseudonothus,Otiorhynchus pseudonothus,Otiorhynchus vine weevil,derived
otiorhynchus-spec,Otiorhynchus spec.,Vine weevil,known
oxybelus-uniglumis,Oxybelus uniglumis,Spine-tailed digger wasp,known
panimerus-spec,Panimerus spec.,Moth fly,derived
papaver-rhoeas-cultivar,Papaver rhoeas (cultivar),Common poppy (cultivar),known
parachronistis-albiceps,Parachronistis albiceps,White-headed twitch moth,derived
passaloecus-corniger,Passaloecus corniger,Aphid-hunting wasp,known
periclista-spec,Periclista spec.,Oak sawfly,derived
peripsychoda-auriculata,Peripsychoda auriculata,Moth fly,derived
peripsychoda-spec,Peripsychoda spec.,Moth fly,derived
perovskia-abrotanoides-x-perovskia-atriplicifolia,Perovskia abrotanoides x Perovskia atriplicifolia,Russian sage hybrid,known
phania-funesta,Phania funesta,Phania tachinid fly,derived
pherbellia-cinerella,Pherbellia cinerella,Marsh fly,derived
philodromus-albidus,Philodromus albidus,Running crab spider,derived
phyllocoptes-eupadi,Phyllocoptes eupadi,Cherry gall mite,derived
phyllosticta-cruenta,Phyllosticta cruenta,Lily leaf spot fungus,derived
phytomyza,Phytomyza,Leaf-mining fly,known
phytomyza-aquilegiae,Phytomyza aquilegiae,Columbine leaf miner,known
phytomyza-lappae,Phytomyza lappae,Burdock leaf miner,derived
phytomyza-spondylii-pastinacae,Phytomyza spondylii + pastinacae,Hogweed and parsnip leaf miner,derived
phytoptus-abnormis,Phytoptus abnormis,Phytoptus eriophyid mite,derived
piratula-latitans,Piratula latitans,Pirate wolf spider,derived
pithanus-maerkelii,Pithanus maerkelii,Pithanus plant bug,derived
plagiosterna-aenea,Plagiosterna aenea,Metallic leaf beetle,derived
planariidae,Planariidae,Planarians,known
plateumaris-bracata,Plateumaris bracata,Reed beetle,derived
