slug,latin_name,common_name,source
dicyphus-epilobii,Dicyphus epilobii,Dicyphus plant bug,derived
ectemnius-spec,Ectemnius spec.,Square-headed wasps,known
eratigena-spec,Eratigena spec.,House spiders,known
orthotrichia-costalis,Orthotrichia costalis,Microcaddisflies,derived
phyllobius-pilicornis,Phyllobius pilicornis,Leaf weevils,known
pimplinae-indet,Pimplinae indet.,Pimpline wasps,derived
planuncus-tingitanus-s-l,Planuncus tingitanus s.l.,Variable cockroach,webfetch
populus-x-canadensis-p-deltoides-x-p-nigra,Populus x canadensis (P. deltoides x P. nigra),Hybrid black poplar,known
sciapus-spec,Sciapus spec.,Long-legged flies,known
silis-ruficollis,Silis ruficollis,Soldier beetle,derived
torymus-spec,Torymus spec.,Torymid wasps,derived
anisodactylus-binotatus,Anisodactylus binotatus,Two-spotted ground beetle,derived
chrysoperla-carnea-s-l,Chrysoperla carnea s.l.,Common green lacewing,known
crabro-peltarius,Crabro peltarius,Square-headed wasp,derived
ctenophora-festiva,Ctenophora festiva,Ornate crane fly,derived
dolichopus-spec,Dolichopus spec.,Long-legged flies,known
ecnomus-tenellus,Ecnomus tenellus,Caddisfly,derived
empoasca-spec,Empoasca spec.,Potato leafhoppers,known
enoplognatha-spec,Enoplognatha spec.,Cobweb spiders,known
ethmia-quadrillella,Ethmia quadrillella,Four-spotted ethmia moth,derived
grypocoris-sexguttatus,Grypocoris sexguttatus,Six-spotted plant bug,derived
harpalus-spec,Harpalus spec.,Ground beetles,known
hemicrepidius-niger,Hemicrepidius niger,Black click beetle,derived
heterocerus-spec,Heterocerus spec.,Variegated mud-loving beetles,known
holopyga-generosa,Holopyga generosa,Cuckoo wasps,known
julidae-indet,Julidae indet.,Snake millipedes,known
macrosiphini,Macrosiphini,Aphids,known
palloptera-muliebris,Palloptera muliebris,Flutter fly,webfetch
rubus-sect-corylifolii-rubus-sect-rubus,Rubus sect. Corylifolii + Rubus sect. Rubus,Brambles,known
stenarella-domator,Stenarella domator,Parasitic wasp,derived
