slug,latin_name,common_name,source
achillea-millefolium-cultivar,Achillea millefolium (cultivar),Yarrow (cultivar),known
adalia,Adalia,Two-spot ladybirds,derived
aegopodium,Aegopodium,Ground elder,known
agelastica,Agelastica,Alder leaf beetles,derived
agrilus,Agrilus,Jewel beetles,known
agrilus-spec,Agrilus spec.,Jewel beetles,derived
agromyza-flaviceps,Agromyza flaviceps,,unknown
agyneta,Agyneta,Sheet weaver spiders,known
ancylis-unguicella,Ancylis unguicella,,unknown
anodontini,Anodontini,Pond mussels,known
anoecia,Anoecia,Dogwood aphids,known
anthocomus-fasciatus,Anthocomus fasciatus,,unknown
anthrenus-pimpinellae,Anthrenus pimpinellae,Pimpinel carpet beetle,derived
aphrodes-spec,Aphrodes spec.,Leafhoppers,derived
aplocera-spec,Aplocera spec.,Geometer moths,derived
apolygus-lucorum,Apolygus lucorum,Green capsid bug,known
aquarius,Aquarius,Pond skaters,known
aquilegia-vulgaris-cultivar,Aquilegia vulgaris (cultivar),Columbine (cultivar),known
aradus-brenskei,Aradus brenskei,,unknown
arge-cyanocrocea,Arge cyanocrocea,Strawberry sawfly,known
arge-pagana,Arge pagana,Rose sawfly,known
atractotomus-mali,Atractotomus mali,Apple capsid bug,known
aulagromyza-hendeliana,Aulagromyza hendeliana,,unknown
austrolimnophila-ochracea,Austrolimnophila ochracea,Crane fly,derived
bledius-spec,Bledius spec.,Rove beetles,derived
brassiceae,Brassiceae,Mustard tribe,derived
byturus-spec,Byturus spec.,Fruitworm beetles,known
caloptilia-spec,Caloptilia spec.,Leaf blotch miners,derived
cantharis,Cantharis,Soldier beetles,known
cantharis-flavilabris,Cantharis flavilabris,,unknown
