slug,latin_name,common_name,source
cantharis-livida,Cantharis livida,Tawny soldier beetle,known
jacobaea-vulgaris-subsp-dunensis,Jacobaea vulgaris subsp. dunensis,Dune ragwort,derived
ichneumon-xanthorius,Ichneumon xanthorius,Ichneumon wasp,known
oecetis-ochracea,Oecetis ochracea,Long-horned caddisfly,known
clepsis-dumicolana,Clepsis dumicolana,Tortrix moth,derived
lagria-spec,Lagria spec.,Lagriid beetles,derived
cepaea-spec,Cepaea spec.,Banded snails,known
scymninae-indet,Scymninae indet.,Scymnus ladybirds,derived
malva-alcea-malva-moschata,Malva alcea + Malva moschata,Hollyhock mallow and musk mallow (mixed),derived
anthomyia-procellaris,Anthomyia procellaris,Root-fly,known
malva-sylvestris-cultivar,Malva sylvestris (cultivar),Common mallow (cultivar),known
ancistrocerus-spec,Ancistrocerus spec.,Mason wasps,known
borkhausenia-nefrax,Borkhausenia nefrax,Concealer moth,derived
melilotus-altissimus-melilotus-officinalis,Melilotus altissimus + Melilotus officinalis,Tall melilot and ribbed melilot (mixed),derived
tripleurospermum-maritimum-matricaria-chamomilla,Tripleurospermum maritimum + Matricaria chamomilla,Sea mayweed and scented mayweed (mixed),derived
trypoxylon-spec,Trypoxylon spec.,Organ-pipe mud daubers,known
cantharis-spec,Cantharis spec.,Soldier beetles,derived
dolichomitus-complex,Dolichomitus-complex,Dolichomitus parasitoid wasps,derived
sapygina-decemguttata,Sapygina decemguttata,Ten-spotted club wasp,derived
eumenes-spec,Eumenes spec.,Potter wasps,known
scoparia-eudonia-spec,Scoparia/Eudonia spec.,Grass moths (mixed),derived
agraylea-spec,Agraylea spec.,Micro caddisflies,derived
campyloneura-virgula,Campyloneura virgula,Campyloneura plant bug,known
demeijerea-rufipes,Demeijerea rufipes,Non-biting midge,derived
leptocerus-tineiformis,Leptocerus tineiformis,Long-horned caddisfly,known
persicaria-lapathifolia-persicaria-maculosa,Persicaria lapathifolia + Persicaria maculosa,Pale persicaria and redshank (mixed),derived
swammerdamia-paraswammerdamia-spec,Swammerdamia/Paraswammerdamia spec.,Ermine moths (mixed),derived
auricularia-mesenterica,Auricularia mesenterica,Tripe fungus,known
deraeocoris-flavilinea,Deraeocoris flavilinea,Plant bug,known
dichrorampha-spec,Dichrorampha spec.,Dichrorampha tortrix moths,derived
