slug,latin_name,common_name,source
synageles-spec,Synageles spec.,ant-mimicking jumping spiders,derived
agromyza-reptans-pseudoreptans,Agromyza reptans/pseudoreptans,Agromyza leaf miner flies,derived
amauromyza-verbasci,Amauromyza verbasci,mullein leaf miner,derived
anomaloninae-indet,Anomaloninae indet.,Anomaloninae parasitoid wasps,derived
aphidinae,Aphidinae,true aphids,known
archarius-crux,Archarius crux,hazel weevil,derived
ascobolus-brantophilus,Ascobolus brantophilus,goose dung cup fungus,derived
blepharipa-pratensis,Blepharipa pratensis,a tachinid fly,derived
caliothrips,Caliothrips,banded greenhouse thrips,known
centaurea-cyanus-cultivar,Centaurea cyanus (cultivar),cornflower cultivar,known
chromatomyia-primulae,Chromatomyia primulae,primrose leaf miner,derived
chrysotus-spec,Chrysotus spec.,Chrysotus long-legged flies,derived
cryptocephalus-ocellatus,Cryptocephalus ocellatus,case-bearer leaf beetle,derived
deutzia,Deutzia,deutzia,known
dianthus-spec-cultivar,Dianthus spec. (cultivar),carnation cultivar,known
dicyphus-errans,Dicyphus errans,Dicyphus plant bug,derived
dolerus-spec,Dolerus spec.,Dolerus sawflies,derived
dolichopus-claviger,Dolichopus claviger,a long-legged fly,derived
edwardsiana-geometrica,Edwardsiana geometrica,a leafhopper,derived
empis-livida,Empis livida,a dance fly,derived
enicospilus-ramidulus,Enicospilus ramidulus,an ichneumon wasp,derived
eutonia-barbipes,Eutonia barbipes,a crane fly,derived
gammarus-tigrinus,Gammarus tigrinus,banded freshwater shrimp,known
gastrolepta-anthracina,Gastrolepta anthracina,a tachinid fly,derived
gymnochiromyia,Gymnochiromyia,Gymnochiromyia flies,derived
harpella-forficella,Harpella forficella,Harpella moth,known
hercostomus-nigriplantis,Hercostomus nigriplantis,a long-legged fly,derived
hypericum-androsaemum-hypericum-hircinum-hypericum-x-inodorum,Hypericum androsaemum + Hypericum hircinum + Hypericum x inodorum,tutsan / stinking tutsan / Hidcote hypericum complex,derived
lamiastrum-galeobdolon-subsp-argentatum,Lamiastrum galeobdolon subsp. argentatum,silver dead-nettle,known
leccinum-scabrum-sl-incl-cyaneobasileucum-melaneum-schistophilum-variicolor,"Leccinum scabrum sl, incl. cyaneobasileucum, melaneum, schistophilum, variicolor",rough-stemmed bolete complex,known
