slug,latin_name,common_name,source
carpocoris-spec,Carpocoris spec.,Carpocoris shield bugs,derived
caryocolum-fischerella,Caryocolum fischerella,Caryocolum moth,derived
celypha-siderana,Celypha siderana,Phiaris tortrix moth,derived
chaoborus-spec,Chaoborus spec.,phantom midges,known
chromatomyia-spinaciae,Chromatomyia spinaciae,spinach leafminer,known
cnephasia-spec,Cnephasia spec.,Cnephasia tortrix moths,derived
coniopteryx-spec,Coniopteryx spec.,dusty-wings,known
coprinellus-micaceus-sl-incl-pallidissimus-saccharinus-truncorum,"Coprinellus micaceus sl, incl. pallidissimus, saccharinus, truncorum",glistening inkcap,known
coranus-spec,Coranus spec.,Coranus assassin bugs,derived
cordylepherus-viridis,Cordylepherus viridis,green malachite beetle,derived
cremnops-desertor,Cremnops desertor,Cremnops parasitoid wasp,derived
crossocerus-annulipes,Crossocerus annulipes,Crossocerus digger wasp,derived
crossocerus-binotatus,Crossocerus binotatus,Crossocerus digger wasp,derived
crossocerus-spec,Crossocerus spec.,Crossocerus digger wasps,derived
cryptinae-indet,Cryptinae indet.,Cryptinae parasitoid wasps,derived
cryptocephalus-spec,Cryptocephalus spec.,Cryptocephalus case-bearer beetles,derived
cryptodiaporthe-populea,Cryptodiaporthe populea,poplar bark canker fungus,derived
cryptosphaeria-eunomia,Cryptosphaeria eunomia,Cryptosphaeria wood fungus,derived
cylindroiulus-caeruleocinctus,Cylindroiulus caeruleocinctus,blue-ringed millipede,known
dacrymyces-stillatus,Dacrymyces stillatus,common jellyspot,known
dasineura-acrophila,Dasineura acrophila,maple gall midge,derived
dasineura-aparines,Dasineura aparines,cleavers gall midge,derived
dasineura-sisymbrii,Dasineura sisymbrii,hedge mustard gall midge,derived
dasytes-spec,Dasytes spec.,Dasytes soft-winged flower beetles,derived
datura-stramonium-var-tatula,Datura stramonium var. tatula,purple thorn-apple,known
depressaria,Depressaria,Depressaria flat-body moths,derived
deraeocoris-trifasciatus,Deraeocoris trifasciatus,three-banded plant bug,derived
dexiosoma-caninum,Dexiosoma caninum,Dexiosoma parasitoid fly,derived
dichetophora-obliterata,Dichetophora obliterata,Dichetophora marsh fly,derived
dichrooscytus-intermedius,Dichrooscytus intermedius,Dichrooscytus plant bug,derived
