slug,latin_name,common_name,source
macaroeris,Macaroeris,jumping spiders,derived
macropsis-spec,Macropsis spec.,tree leafhoppers,derived
macrosteles-cristatus,Macrosteles cristatus,crested leafhopper,known
melanomya,Melanomya,blowflies,derived
melica-transsilvanica,Melica transsilvanica,Transylvanian melick,known
melieria,Melieria,picture-winged flies,derived
mentha-x-rotundifolia-m-longifolia-x-m-suaveolens,Mentha x rotundifolia (M. longifolia x M. suaveolens),round-leaved mint,known
meromyza-spec,Meromyza spec.,grass flies,derived
microgastrinae-indet,Microgastrinae indet.,microgastrine braconid wasps,derived
micropeza-corrigiolata,Micropeza corrigiolata,stilt-legged fly,derived
mintho-rufiventris,Mintho rufiventris,red-bellied tachinid fly,derived
mordellistena-spec,Mordellistena spec.,tumbling flower beetles,derived
nabis-spec,Nabis spec.,damsel bugs,known
nemapogon-spec,Nemapogon spec.,fungus moths,known
nemesia-melissifolia,Nemesia melissifolia,nemesia,known
neocrepidodera-spec,Neocrepidodera spec.,flea beetles,derived
neomochtherus-geniculatus,Neomochtherus geniculatus,robber fly,derived
nepeta-x-faassenii-n-nepetella-x-n-racemosa,Nepeta x faassenii (N. nepetella x N. racemosa),garden catmint,known
nephrotoma-flavescens,Nephrotoma flavescens,yellow crane fly,derived
nephrotoma-flavipalpis,Nephrotoma flavipalpis,crane fly,derived
nephrotoma-guestfalica,Nephrotoma guestfalica,crane fly,derived
notiphila-spec,Notiphila spec.,shore flies,derived
notostira,Notostira,grass bugs,derived
odiellus-spinosus,Odiellus spinosus,spiny harvestman,known
oedemera,Oedemera,false blister beetles,known
oncopsis-spec,Oncopsis spec.,birch leafhoppers,derived
onopordum-x-beckianum-o-acanthium-x-o-illyricum,Onopordum x beckianum (O. acanthium x O. illyricum),hybrid cotton thistle,derived
ophonus-rufibarbis,Ophonus rufibarbis,red-bearded ground beetle,derived
opomyza-germinationis-petrei,Opomyza germinationis/petrei,grass flies,derived
orchestes-rusci,Orchestes rusci,flea weevil,derived
