slug,latin_name,common_name,source
thaumatomyia-spec,Thaumatomyia spec.,frit fly,known
thelaira-nigripes,Thelaira nigripes,black-legged parasitic fly,derived
thereva-cinifera,Thereva cinifera,stiletto fly,known
tinocallis,Tinocallis,elm aphid,known
tiphia-minuta,Tiphia minuta,flower wasp,derived
tremulicerus-tremulae,Tremulicerus tremulae,aspen leafhopper,derived
tremulicerus-vitreus,Tremulicerus vitreus,aspen leafhopper,derived
trifolieae,Trifolieae,clover tribe,derived
turritella-socordia,Turritella socordia,turritella snail,known
xantholinus,Xantholinus,rove beetle,known
xanthoria-calcicola,Xanthoria calcicola,limestone sunburst lichen,derived
xanthostigma-xanthostigma,Xanthostigma xanthostigma,snakefly,known
xerocomus-chrysenteron-sl-incl-bubalinus-cisalpinus-declivitatum-porosporus,"Xerocomus chrysenteron sl, incl. bubalinus, cisalpinus, declivitatum, porosporus",red cracking bolete,known
xorides-alpestris,Xorides alpestris,ichneumon wasp,derived
xyleborinus,Xyleborinus,ambrosia beetle,known
yponomeuta-malinellus,Yponomeuta malinellus,apple ermine moth,known
zimmermannia-longicaudella-atrifrontella,Zimmermannia longicaudella / atrifrontella,nepticulid moth,derived
Cercidiphyllum,Cercidiphyllum,katsura tree,known
Chitalpa,Chitalpa,chitalpa,known
Cyclocarya,Cyclocarya,ring-fruited walnut,derived
Cydonia,Cydonia,quince,known
Davidia,Davidia,dove tree,known
Dipelta,Dipelta,dipelta,derived
Emmenopterys,Emmenopterys,Emmenopterys,derived
Firmiana,Firmiana,Chinese parasol tree,known
Heptacodium,Heptacodium,seven-son flower,known
Idesia,Idesia,wonder tree,known
Kalopanax,Kalopanax,prickly castor-oil tree,known
Koelreuteria,Koelreuteria,golden rain tree,known
Kolkwitzia,Kolkwitzia,beautybush,known
