slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
troglodytes,bird,tree-canopy;ground-park,tree-flitter;park-roamer,override,Wren/Dunnock/Robin all spend significant time on the ground beneath shrubs and in leaf litter in addition to canopy perching.,
tuber-magnatum,fungus,ground-park,none,override,White truffle is a subterranean mycorrhizal fungus fruiting underground near roots — not on bark surfaces.,
tuberculatus,insect,tree-canopy;tree-bark,idle-only,override,Oak aphids are sessile sap-feeders on leaves and shoots; they do not visit flowers and barely move positionally.,
tuberolachnus-salignus,insect,tree-bark;tree-canopy,idle-only,override,Tuberolachnus forms stationary colonies on willow bark stems; Chaitophorus feeds on leaves but neither visits flowers.,
turdus,bird,tree-canopy;ground-park,tree-flitter;park-roamer,override,Song Thrush/Redwing/Fieldfare all alternate between fruiting canopy and ground earthworm foraging in Amsterdam parks.,
turdus-iliacus-pilaris,bird,tree-canopy;ground-park,tree-flitter;park-roamer,override,Redwing and Fieldfare strip hawthorn berries from canopies then forage for earthworms on open park lawns.,
turdus-including-winter-migrants,bird,tree-canopy;ground-park,tree-flitter;park-roamer,override,Turdus guild around Nyssa trees splits time between fruiting canopy and ground invertebrate foraging.,
turdus-merula,bird,ground-park;tree-canopy,park-roamer;tree-flitter,override,Blackbird is primarily a ground forager; ground-park dominates with tree-canopy secondary for roosting and berry feeding.,
turdus-merula-t-philomelos,bird,ground-park;tree-canopy,park-roamer;tree-flitter,override,Blackbird and Song Thrush both forage heavily on the ground beneath Malus trees for fallen fruit and invertebrates.,
turdus-philomelos,bird,tree-canopy;ground-park,tree-flitter;park-roamer,override,Song and Mistle Thrushes feed on Amelanchier berries in canopy then use stone anvils on the ground to crack snails.,
turdus-pilaris,bird,tree-canopy;ground-park,tree-flitter;park-roamer,override,Fieldfare and Redwing winter flocks strip Sorbus berries from canopy then work park lawns for earthworms.,
turdus-pilaris-t-iliacus,bird,tree-canopy;ground-park,tree-flitter;park-roamer,override,Fieldfare and Redwing on Malus behave identically to other Sorbus/hawthorn contexts — canopy feeding plus ground foraging.,
turdus-viscivorus,bird,tree-canopy;ground-park,tree-flitter;park-roamer,override,Mistle Thrush defends berry trees aggressively and also strides boldly across open lawns for large earthworms.,
various-lepidoptera,insect,tree-canopy;tree-bark,idle-only,override,These moths (hawk-moth/tussock/pug/Chinese character) are larval tree feeders and day-resting adults — no flower visiting.,
various-mammals,mammal,ground-park,park-roamer,default,Mice/voles/foxes/badgers are all ground-park mammals well-covered by the category default.,
venusia-cambrica,insect,tree-canopy;tree-bark,idle-only,override,Geometrid moth caterpillars feed on Sorbus foliage; adults rest motionless on bark — neither stage visits flowers.,
verticillium,fungus,ground-park,none,override,Verticillium is a soil-borne root pathogen; it has no above-ground fruiting body so ground-park overrides tree-bark default.,
vespidae,insect,flower-visitor;tree-canopy,flower-bobber;sky-looper,override,Wasps and hoverflies are both flower visitors but hoverflies hover distinctively and wasps use sustained transit flight.,
vespula,insect,tree-canopy;ground-park,flower-bobber;sky-looper,override,Vespula hunt caterpillars in canopy and nest in ground; parasitoid wasps locate hosts in foliage with active hunting flights.,
vulpes-vulpes,mammal,ground-park,park-roamer,default,Fox/badger/boar are all ground-park frugivores well-covered by the mammal category default.,
vulpes-vulpes-erinaceus-europaeus,mammal,ground-park,park-roamer,default,Red Fox and Hedgehog are classic ground-park mammals that forage through Amsterdam parks and gardens.,
winter-moth-tortrix-spp,insect,tree-canopy;tree-bark,idle-only,override,Caterpillars feed on Pterocarya buds/leaves in canopy; female winter moths crawl up trunks rather than visiting flowers.,
wood-pigeon-magpie-carrion-crow,bird,anywhere;tree-canopy,urban-walker;tree-flitter,override,Wood Pigeon/Magpie/Carrion Crow are genuine urban generalists using pavements/rooftops/lawns equally with tree canopy.,
xylocopa,insect,flower-visitor;wall-and-roof,flower-bobber;sky-looper,override,Carpenter bees forage on Cercis/Platanus flowers and nest in dry timber structures; powerful transit flight between patches.,
xylocopa-violacea,insect,flower-visitor;wall-and-roof,flower-bobber;sky-looper,override,Violet carpenter bee visits Catalpa flowers and nests in dry wood; strong flier making sky-looper appropriate for transit.,
xylosandrus-crassiusculus,insect,tree-bark,idle-only,override,Ambrosia beetle lives entirely inside bark/wood galleries; flower-bobber default does not apply to this wood-boring beetle.,
xylotrechus-chinensis,insect,tree-bark;tree-canopy,idle-only,override,Longhorn beetle larvae bore into Morus wood; adults rest on bark or chew twigs — no flower visiting at any stage.,
yponomeuta-evonymella,insect,tree-canopy;tree-bark,idle-only,override,Ermine moth caterpillars web-encase Prunus canopy; adults rest on bark — conspicuous tree organisms with no flower-visiting stage.,
zeuzera-pyrina,insect,tree-bark;tree-canopy,idle-only,override,Wood leopard moth larvae bore into Populus wood for years; adults rest on bark at day — classic tree-bark overriding insect default.,
