slug,common_name,latin_name,tree_genera,has_photo,tree_count
scolytus-scolytus,Elm bark beetles,"Scolytus scolytus, S. multistriatus, Curculionidae: Scolytinae",Ulmus,true,1
sesia-apiformis,Hornet moth,"Sesia apiformis, Sesiidae",Populus,true,1
sitta-europaea-dendrocopos-major,Nuthatch & Great Spotted Woodpecker,Sitta europaea / Dendrocopos major,Corylus,true,1
small-mammals,"Foxes, squirrels, mice",small mammals,Morus,true,1
smerinthus-ocellata,Eyed Hawk-moth & Puss Moth caterpillars,Smerinthus ocellata / Cerura vinula,Salix,true,1
sphinx-pinastri,Pine hawk-moth,"Sphinx pinastri, Sphingidae",Pinus,true,1
spinus-spinus,Eurasian Siskin,Spinus spinus,Alnus;Betula;Larix;Picea,true,4
stereonychus-fraxini,Ash weevil,Stereonychus fraxini,Fraxinus,true,1
stigmella-microtheriella,Hazel leaf-miner moth,Stigmella microtheriella / Nepticulidae,Carpinus,true,1
stomaphis-yanonis-aphididae,Giant zelkova aphid,"Stomaphis yanonis, Aphididae",Zelkova,false,1
strix-aluco-phoenicurus-phoenicurus-sitta-dendrocopos,"Tawny Owl, Redstart, Nuthatch, Woodpeckers",Strix aluco / Phoenicurus phoenicurus / Sitta / Dendrocopos,Fraxinus,true,1
sturnus-vulgaris,European starling,Sturnus vulgaris / Sturnidae,Morus;Nyssa,true,2
sus-scrofa,Wild boar,Sus scrofa,Fagus;Robinia,true,2
sylvia-atricapilla,Eurasian Blackcap,Sylvia atricapilla,Amelanchier,true,1
syrphidae,Hoverflies & lacewings,"Syrphidae, Chrysopidae",Acer;Aesculus;Koelreuteria;Magnolia;Styphnolobium;Tilia,true,6
taxomyia-taxi,Yew gall midge,"Taxomyia taxi, Cecidomyiidae",Taxus,true,1
tenthredinidae,Green dogwood sawfly & related sawflies,Tenthredinidae,Cornus,true,1
tenthredinidae-e-g-croesus-septentrionalis,Hazel sawflies,"Tenthredinidae, e.g. Croesus septentrionalis",Corylus,true,1
tetranychidae,Spider mites,Tetranychidae,Cupressocyparis;Ginkgo;Gleditsia;Koelreuteria;Liquidambar;Metasequoia;Pterocarya;Thuja,true,8
tetranychus-urticae,Two-spotted spider mite (Tetranychus urticae) and relatives,,Cercidiphyllum;Parrotia;Paulownia;Robinia,true,4
tetropium-gabrieli,Larch longhorn,"Tetropium gabrieli, Cerambycidae",Larix,true,1
thaumetopoea-pityocampa,Pine processionary moth,"Thaumetopoea pityocampa, Notodontidae",Pinus,true,1
thelephoraceae,Ectomycorrhizal fungi,"Thelephoraceae, Trichophaea spp.",Cedrus,true,1
tinocallis-platani,Elm leaf aphid,"Tinocallis platani, Eriosoma spp., Aphididae",Ulmus,true,1
tomicus-piniperda,Pine bark beetle,"Tomicus piniperda, Scolytinae",Pinus,true,1
tortricidae,Generalist tortricid & geometrid moths,"Tortricidae, Geometridae",Parrotia;Paulownia,true,2
tortrix-geometrid,Generalist tortrix and geometrid caterpillars,,Liquidambar,true,1
toumeyella-liriodendri,Tulip-tree scale,Toumeyella liriodendri / Coccidae,Liriodendron,true,1
trachys-yanoi,Trachys yanoi-type leaf-mining buprestid beetles,Buprestidae,Zelkova,true,1
