slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
buprestidae,insect,tree-bark,idle-only,override,tree-feeding microorganism on Celtis — larvae bore inside bark and sapwood,
cacopsylla-pyri,insect,tree-canopy,idle-only,override,tree-feeding microorganism on Pyrus — sessile nymphs on leaf tissue,
callipterinella,insect,tree-canopy,idle-only,override,tree-feeding microorganism on Betula — sedentary aphid colonies on leaves and catkins,
cameraria-ohridella,insect,tree-canopy,idle-only,override,tree-feeding microorganism on Aesculus — larvae fully sedentary inside leaf mines,
capreolus-capreolus,mammal,ground-park,park-roamer,default,mammal default fits — browses in park vegetation and green corridors,
carduelis,bird,anywhere,urban-walker;tree-flitter,override,mixed finch-and-sparrow slot on Ailanthus requires anywhere placement and split movement,
carduelis-carduelis,bird,tree-canopy,tree-flitter,default,small finch canopy-feeder on alder and sweetgum — bird default fits,
carduelis-carduelis-spinus-spinus,bird,tree-canopy,tree-flitter,default,mixed finch flock on Ostrya catkins — small-songbird default fits,
carulaspis,insect,tree-bark,idle-only,override,tree-feeding microorganism on Chamaecyparis — scale insects and mites fixed to bark,
carulaspis-juniper-scale,insect,tree-bark,idle-only,override,tree-feeding microorganism on Cupressocyparis — settled scale crawlers immobile on bark,
carulaspis-juniperi,insect,tree-bark,idle-only,override,tree-feeding microorganism on Thuja — armoured scale permanently fixed under waxy cover,
cecidophyopsis-psilaspis,arachnid,tree-canopy,idle-only,override,gall-forming microorganism on Taxus — mites sedentary inside swollen buds,
cedrobium-laportei,insect,tree-canopy,idle-only,override,tree-feeding microorganism on Cedrus — sedentary woolly aphid colonies on shoots,https://inaturalist-open-data.s3.amazonaws.com/photos/10584636/medium.jpg
celastrina-argiolus,insect,flower-visitor,flower-bobber,default,holly blue visits Ilex and ivy flowers — insect flower-visitor default fits,
cerambycidae,insect,tree-bark,idle-only,override,tree-feeding microorganism on Aesculus — larvae bore in sapwood of declining trees,
ceratomia-catalpae,insect,tree-canopy,idle-only,override,tree-feeding microorganism on Catalpa — caterpillars sedentary on leaves in canopy,
certhia-familiaris,bird,tree-bark,idle-only,override,bark-foraging bird spirals tree trunks — tree-bark habitat and slow creep overrides songbird default,
certhia-sitta,bird,tree-bark,idle-only,override,treecreeper and nuthatch both forage on Pterocarya bark — tree-bark overrides bird default,
cerura,insect,tree-canopy,idle-only,override,tree-feeding microorganism on Populus — larvae sedentary on poplar leaves in canopy,
cetonia-aurata,insect,flower-visitor,flower-bobber,override,flower-feeding scarab on Magnolia blooms — flower-visitor fits but override from default to flag beetle not typical pollinator,
chalcidoidea,insect,tree-canopy,idle-only,override,tree-feeding microorganism on Ilex;Magnolia — parasitoid wasps operate within leaf mines,
chionaspis-gleditsiae,insect,tree-bark,idle-only,override,tree-feeding microorganism on Gleditsia — armoured scale fixed to bark,
chloris,bird,tree-canopy,tree-flitter,default,finch mix foraging on Laburnum and Liquidambar seeds — bird default fits,
chloris-chloris,bird,tree-canopy,tree-flitter,default,greenfinch and sparrow on Styphnolobium seed pods — bird default fits,
chloris-chloris-prunella-modularis-troglodytes-troglodytes-erithacus-rubecula,bird,tree-canopy,tree-flitter,default,four small songbirds using Cupressocyparis hedge — tree-canopy default fits as dominant shared habitat,
choristoneura,insect,tree-canopy,idle-only,override,tree-feeding microorganism on Larix — larvae sedentary in web-bound shoot shelters,
chromaphis-juglandicola,insect,tree-canopy,idle-only,override,tree-feeding microorganism on Juglans — stationary colonies on walnut leaflet undersides,
chrysomela-populi,insect,tree-canopy,idle-only,override,tree-feeding microorganism on Populus — adults and larvae feed openly on poplar leaves,
cinara-cedri,insect,tree-canopy,idle-only,override,tree-feeding microorganism on Cedrus — colonies fixed on shoots without alternate host,
