slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
apiognomonia-veneta,fungus,tree-bark,none,default,Bark-colonising anthracnose pathogen whose acervuli erupt directly from infected Platanus bark tissue.,
apis,insect,flower-visitor,flower-bobber,default,Generalist pollinator bees most visible and ecologically meaningful on flowering trees.,
apis-bombus,insect,flower-visitor,flower-bobber,default,Generalist pollinator bees visiting Pterocarya catkins and placed at flowering tree sprites.,
apis-mellifera,insect,flower-visitor,flower-bobber,default,Honey bee is the canonical flower-visitor pollinator across 20 Amsterdam tree genera.,
apis-mellifera-andrena-spp,insect,flower-visitor,flower-bobber,default,Honey bees and Andrena solitary bees are both primarily flower-visitors on Malus blossom.,
apodemus-myodes-sciurus,mammal,ground-park;tree-canopy,park-roamer;tree-flitter,override,Mixed ground-rodents and arboreal squirrel on Fagus requires dual habitat tags.,
apodemus-sylvaticus,mammal,ground-park,park-roamer,default,Nocturnal ground-foraging wood mouse feeding on fallen Prunus fruit; not meaningfully arboreal.,
apodemus-sylvaticus-myodes-glareolus,mammal,ground-park,park-roamer,default,Wood mouse and bank vole are both nocturnal ground mammals foraging beneath fruiting shrubs.,
apodemus-sylvaticus-myodes-glareolus-sciurus-vulgaris,mammal,ground-park;tree-canopy,park-roamer;tree-flitter,override,Ground-rodents dominate but red squirrel component adds genuine arboreal movement on Corylus.,
apoidea,insect,flower-visitor,flower-bobber,default,Bee superfamily placed at Cornus blossom as canonical flower-visitors.,
appendiseta-robiniae,insect,tree-canopy,idle-only,override,Tree-feeding aphid forming immobile colonies on Robinia foliage and shoots.,
arachnida,arachnid,anywhere,idle-only,default,Arachnida class is too diverse for a specific placement; anywhere default applies.,
arachnida-isopoda,arachnid,tree-bark,idle-only,override,Bark-dwelling community of spiders harvestmen and woodlice sheltering in Cupressocyparis bark crevices.,
araneae,arachnid,tree-canopy,idle-only,override,Dormant overwintering invertebrates sheltering in marcescent hanging leaves of Carpinus and allies.,
araneidae,arachnid,tree-canopy,idle-only,override,Orb-weaver and cobweb spiders building webs anchored to Ailanthus canopy branches.,
argynnis,insect,flower-visitor;ground-park,flower-bobber;park-roamer,override,Large woodland-edge fritillaries foraging on flowers but also gliding and resting at ground level.,
argyresthia,insect,tree-canopy,idle-only,override,Tree-feeding tip moth whose larvae mine shoot tips of Cupressocyparis and Thuja.,
argyresthia-conjugella,insect,tree-canopy,idle-only,override,Tree-feeding fruit moth whose larvae develop inside Sorbus fruits hanging in the canopy.,
asterocampa-celtis,insect,tree-canopy,flower-bobber,override,Hackberry Emperor adults perch and glide in Celtis canopy rather than visiting flowers.,
atteva-aurea,insect,tree-canopy,idle-only,override,Communal larval silk webs fed on Ailanthus foliage; larvae are sedentary within the web.,
barbastella-barbastellus,mammal,sky-only,sky-looper,override,Aerial bat species roost in Salix cavities but are mapped in flight over canals and parks.,
blepharidopterus-chlorionis,insect,tree-canopy,idle-only,override,Tree-feeding plant bug on Gleditsia leaflets; not a flower-visitor.,
bombus,insect,flower-visitor,flower-bobber;sky-looper,override,Bumblebees primarily flower-visit but also make long inter-patch transit flights justifying sky-looper secondary.,
bombus-terrestris,insect,flower-visitor,flower-bobber;sky-looper,override,B. terrestris and B. hortorum are prominent flower-visitors with inter-patch transit flights.,
bombycilla,bird,tree-canopy,tree-flitter,default,Waxwings are canopy fruit-feeding birds that move between fruiting trees in tight flocks.,
bombycilla-garrulus,bird,tree-canopy;ground-park,tree-flitter;park-roamer,override,Group includes blackbird which genuinely alternates canopy fruit-feeding with ground worm-foraging.,
bombyx-mori,insect,tree-canopy,idle-only,override,Domesticated silkworm larvae feed immobile on Morus leaves; cannot survive independently.,
bradyrhizobium,other,ground-park,none,override,Soil root-nodule bacteria fixed underground beneath Cercis; no movement possible.,
bruchidius-siliquastri,insect,tree-canopy,idle-only,override,Seed beetle larvae develop immobile inside Cercis seed pods hanging in the canopy.,
