slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
lepidoptera-incl-trichiura-crataegi-lackey-vapourer-light-emerald,insect,tree-canopy;tree-bark,idle-only,override,Caterpillars feed in foliage and rest on bark — not default flower-visitor pollinators.,
lepidoptera-rare,insect,tree-canopy,idle-only,override,Generalist leaf-feeding caterpillars are anchored to foliage not flowers.,
lepus,mammal,ground-park,park-roamer,default,,
lobarion-graphidion-communities,lichen,tree-bark,none,default,,
lochmaea-crataegi,insect,tree-canopy,idle-only,override,Specialist leaf beetle sits near-motionless on Crataegus foliage rather than visiting flowers.,
loxia-curvirostra,bird,tree-canopy,tree-flitter,default,,
lutra-lutra,mammal,water-edge;water-body,water-edge-stalker;water-drifter,override,Semi-aquatic mammals that patrol canal banks and swim through the water body.,
lycorma-delicatula,insect,tree-bark;tree-canopy,idle-only,override,Sap-feeding planthopper clings motionless to bark rather than visiting flowers.,
lymantria-dispar,insect,tree-canopy;tree-bark,idle-only,override,Defoliating caterpillar feeds in canopy and rests on bark — not a flower-visitor.,
macroglossum-stellatarum,insect,flower-visitor;tree-canopy,flower-bobber;sky-looper,override,Hawkmoths hover at blooms (flower-bobber) then make fast transit flights (sky-looper).,
macropsis-fumipennis,insect,tree-canopy,idle-only,override,Specialist leafhopper feeds motionlessly on Gleditsia foliage undersides.,
malacosoma-disstria,insect,tree-canopy;tree-bark,idle-only,override,Communal caterpillar feeds in canopy and rests in silk mats on bark.,
malacosoma-neustria,insect,tree-canopy;tree-bark,idle-only,override,Lackey moth caterpillars feed in foliage and lay egg rings on bark — not flower-visitors.,
martes-martes,mammal,tree-canopy;ground-park,tree-flitter;park-roamer,override,Arboreal mustelid leaps through canopy by day and hunts on ground at night.,
megabruchidius-dorsalis,insect,tree-canopy,idle-only,override,Bruchid seed beetle lives and mates on Gleditsia pods in the canopy without flower-visiting.,
megachile,insect,flower-visitor,flower-bobber,default,,
megachile-sculpturalis,insect,flower-visitor,flower-bobber,default,,
meles-meles,mammal,ground-park,park-roamer,default,,
mesostigmata,arachnid,tree-bark,idle-only,override,Phoretic mites live sub-cortically on spruce bark; tree-bark beats the default anywhere.,
mimas-tiliae,insect,tree-canopy,idle-only,override,Lime hawk-moth caterpillar feeds motionlessly in Tilia foliage — not a flower-visitor.,
muscardinus-avellanarius,mammal,tree-canopy;ground-park,tree-flitter;park-roamer,override,Arboreal dormouse moves through canopy and occasionally forages on the ground.,
myzocallis-carpini,insect,tree-canopy,idle-only,override,Specialist aphid colonies are stationary on Carpinus leaf undersides.,
myzus-cerasi,insect,tree-canopy,idle-only,override,Cherry blackfly forms dense stationary colonies on Prunus shoot tips and leaf undersides.,
nematinae,insect,tree-canopy,idle-only,override,Pontania gallers develop inside static leaf galls on willow — no flower-visiting.,
nematus-tibialis,insect,tree-canopy,idle-only,override,Gregarious sawfly larvae feed motionlessly on Robinia leaflets — not pollinators.,
neolecanium-cornuparvum,insect,tree-bark,idle-only,override,Scale insect is permanently fused to Magnolia bark — no movement whatsoever.,Close-up photo of magnolia twig showing brown dome-shaped scale insects against the grey bark.
nyctalus,mammal,tree-canopy;sky-only,sky-looper;idle-only,override,Roosting bats anchor to tree cavities by day and fly aerial loops at night.,
nyctalus-noctula,mammal,tree-canopy;sky-only,sky-looper;idle-only,override,Noctule roosts in tree holes (idle-only) and hunts on high fast aerial circuits (sky-looper).,
nymphalis-antiopa,insect,tree-canopy;flower-visitor,tree-flitter;flower-bobber,override,Adults glide between canopy trees and sip sap/nectar — larvae feed in foliage.,
