slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
picidae,bird,tree-canopy;tree-bark,tree-flitter;idle-only,override,Mixed group of cavity-nesting birds and roosting bats requires both bark (roost) and canopy (foraging) with flitter for birds and idle for roosting bats.,
pipistrellus,mammal,tree-bark;sky-only,sky-looper;idle-only,override,Bats roost in tree bark by day and hunt on long aerial loops at dusk; mammal default of ground-park is entirely wrong.,
pipistrellus-pipistrellus,mammal,tree-bark;sky-only,sky-looper;idle-only,override,Common Pipistrelle roosts in bark crevices of street trees and hunts on fast aerial loops above canals; ground-park default does not apply.,
pipistrellus-pipistrellus-nyctalus-noctula,mammal,tree-bark;sky-only,sky-looper;idle-only,override,Both Pipistrelle and Noctule roost in Fagus cavities and hunt aerially; neither species uses ground-park habitat.,
pipistrellus-plecotus-auritus,mammal,tree-bark;sky-only,sky-looper;idle-only,override,Brown Long-eared Bat and Pipistrelle share tree-bark roosts in Fraxinus and both hunt on aerial loops; ground-park default is wrong for bats.,
prociphilus-aphis-fabae,insect,tree-canopy;tree-bark,idle-only,override,Sedentary aphid colonies on Fraxinus foliage and bark cannot be represented by the insect default of flower-visitor / flower-bobber.,
pseudococcidae,insect,tree-bark,idle-only,override,Mealybugs are sessile bark-sucking scale insects on Catalpa; flower-visitor default does not apply.,
pseudoscorpiones,arachnid,tree-bark,idle-only,override,Pseudoscorpions live exclusively in bark crevices of large trees; habitat refined from anywhere to tree-bark.,
psittacula-krameri,bird,tree-canopy,tree-flitter,default,Rose-ringed Parakeet forages and roosts almost entirely in the canopy; bird default fits without modification.,
psocoptera,insect,tree-bark,idle-only,override,Barklice and springtails graze bark surfaces and are immobile at map scale; flower-visitor default is entirely wrong.,
psychidae,insect,tree-canopy;tree-bark,idle-only,override,Bagworm larvae hang in the canopy in sedentary silk cases; insect default of flower-visitor / flower-bobber does not fit.,
pterocallis-alni,insect,tree-canopy;tree-bark,idle-only,override,Alder aphids form sedentary colonies on Alnus foliage and bark; flower-visitor default does not apply to a phloem-sucking leaf aphid.,
pulvinaria-regalis,insect,tree-bark,idle-only,override,Scale insects are permanently attached to Aesculus and Platanus bark; flower-visitor default is irrelevant.,
pyrrhula-pyrrhula,bird,tree-canopy,tree-flitter,default,Bullfinch feeds and moves quietly through the canopy of fruiting Sorbus and Fraxinus; bird default fits without modification.,
qualitative,insect,tree-canopy,idle-only,override,Foliage-feeding caterpillars on Styphnolobium are stationary at map scale; flower-visitor / flower-bobber default does not apply to leaf-eating larvae.,photo of a caterpillar on Styphnolobium japonicum foliage in Amsterdam
rattus-norvegicus,mammal,ground-urban;water-edge,urban-walker;park-roamer,override,Brown rat is primarily a pavement and canal-bank animal in Amsterdam; ground-park / park-roamer default understates its urban affinity.,
regulus,bird,tree-canopy,tree-flitter,default,Goldcrest and Coal Tit are both restless canopy foragers in conifers; bird default fits without modification.,
regulus-ignicapilla,bird,tree-canopy,tree-flitter,default,Firecrest is a hyperactive conifer-canopy gleaner; bird default fits without modification.,
regulus-regulus,bird,tree-canopy,tree-flitter,default,Goldcrest is a dedicated conifer-canopy specialist; bird default fits exactly without modification.,
resseliella-craneiobia-corni,insect,tree-canopy,idle-only,override,Gall midge larvae develop immobile inside Cornus leaf galls; flower-visitor default does not apply.,
rhagoletis-completa,insect,tree-canopy,idle-only,override,Walnut husk fly larvae develop inside Juglans fruit in the canopy; canopy-resting adults make flower-bobber default inappropriate.,
rhopobota,insect,tree-canopy,idle-only,override,Holly tortrix and brindle moth larvae feed on Ilex foliage and are sedentary at map scale; flower-visitor default does not fit leaf-miners.,
rhynchaenus-fagi,insect,tree-canopy,idle-only,override,Beech leaf-mining weevil completes its life cycle in Fagus canopy foliage; flower-visitor default does not apply.,
roosting-garden-birds-in-winter,bird,tree-canopy,idle-only,override,Roosting birds are motionless in conifer canopy after dark; tree-flitter default replaced by idle-only for the roosting phase.,photo of small garden birds roosting in a Cupressocyparis hedge in Amsterdam in winter
satyrium-w-album,insect,tree-canopy;flower-visitor,idle-only;flower-bobber,override,White-letter Hairstreak spends most time perching in elm canopy and only briefly visits nearby flowers for nectar; flower-visitor default alone misses the dominant canopy-resting behaviour.,
sciurus,mammal,tree-canopy;ground-park,tree-flitter;park-roamer,override,Squirrels are strongly arboreal in the canopy with regular ground foraging; ground-park default alone misses the arboreal component.,
sciurus-carolinensis,mammal,tree-canopy;ground-park,tree-flitter;park-roamer,override,Grey Squirrel spends equal time leaping through canopy and caching on park lawns; ground-park default alone is insufficient.,
sciurus-vulgaris,mammal,tree-canopy;ground-park,tree-flitter;park-roamer,override,Red and grey squirrels in conifer stands are highly arboreal with regular ground caching; park-roamer default alone misses the canopy phase.,
sciurus-vulgaris-s-carolinensis,mammal,tree-canopy;ground-park,tree-flitter;park-roamer,override,Squirrels feeding on Ginkgo nuts move between canopy and park ground; park-roamer default alone omits the arboreal phase.,
