slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
cinara-cupressi,insect,tree-bark,idle-only,override,Bark-colonising phloem-feeding aphid; never visits flowers and stays anchored to bark.,
cinara-laricis,insect,tree-bark,idle-only,override,Lachnid aphid feeding in sedentary colonies on larch bark; no flower association.,
cinara-pinea,insect,tree-bark,idle-only,override,Large pine-bark aphid with colonies fixed to bark; flower-visitor default does not apply.,
coccinella-septempunctata,insect,tree-canopy,idle-only,override,Aphid predator hunting Tilia canopy; foliage habitat and slow predatory movement displace the flower-visitor default.,
coccinellidae,insect,tree-canopy,idle-only,override,Canopy aphid predators (ladybirds and lacewings) rest near prey; not flower visitors.,
coccothraustes-coccothraustes,bird,tree-canopy,tree-flitter,default,Upper-canopy finch feeding on hornbeam nutlets; small-bird defaults fit without modification.,
coleophora-laricella,insect,tree-canopy,idle-only,override,Leaf-mining larva confined to larch needles; no flower-visiting stage relevant to map animation.,
coleophoridae,insect,tree-canopy,idle-only,override,Case-bearer caterpillars graze foliage from a fixed case; strictly foliage microhabitat not flowers.,
coleoptera-saproxylica,insect,tree-bark,idle-only,override,Saproxylic beetles live in decaying beech wood and bark; bark placement and idle animation correct.,
collembola,insect,tree-bark,idle-only,override,Bark-crevice springtails on multiple genera; movement below renderer threshold and no flower association.,
collembola-oribatida,insect,ground-park,idle-only,override,Litter/soil community beneath beech; ground-park placement correct — not bark-dwelling or flower-visiting.,
collembola-psocoptera,insect,tree-bark,idle-only,override,Bark-crevice psocids and springtails on Ginkgo; feed on bark algae/lichen not flowers.,
colocasia-coryli,insect,tree-canopy,idle-only,override,Foliage-resting caterpillar on hornbeam; adult rests on bark by day — neither stage visits flowers.,
columba-corvus,bird,tree-canopy;anywhere,tree-flitter;urban-walker,override,Mixed pigeon-and-corvid observation; corvid ground-foraging demands second habitat and movement tag.,
columba-palumbus,bird,tree-canopy,idle-only;tree-flitter,override,Roosting pigeons and passerines observed settled in dense canopy; idle-only is dominant animation.,
columba-palumbus-pica-pica-corvus-cornix,bird,anywhere,tree-flitter;urban-walker,override,Three-species corvid/pigeon mix with strong ground-foraging component displaces tree-canopy default.,
columba-palumbus-streptopelia-decaocto,bird,tree-canopy,idle-only;tree-flitter,override,Roosting pigeons and doves in dense cypress; primary observation is motionless roosting.,
corvus,bird,anywhere,tree-flitter;urban-walker,override,Crow/magpie roost in Gleditsia; corvids equally use canopy and pavement requiring anywhere + dual movement.,
corvus-corone,bird,anywhere,tree-flitter;urban-walker,override,Urban generalist corvid exploiting canopy roosts and pavement foraging equally throughout the day.,
corvus-frugilegus,bird,anywhere,tree-flitter;urban-walker,override,Rooks and crows roost in plane trees and commute to pavements/grass to forage — dual habitat essential.,
corythucha-ciliata,insect,tree-canopy,idle-only,override,Invasive lace bug feeding gregariously on Platanus leaf undersides; not a flower visitor.,
cosmia-diffinis,insect,tree-canopy,idle-only,override,Elm-specialist noctuid; caterpillar mines buds and adult rests on bark — no flower-visiting phase.,
cossus-cossus,insect,tree-bark,idle-only,override,Wood-boring moths (goat moth + clearwing) whose larvae tunnel in bark/wood of willow and chestnut.,
cryptogams,lichen,tree-bark,none,default,Lichens and mosses permanently adhered to Ginkgo bark; lichen category defaults fit exactly.,
curculio-elephas,insect,tree-canopy,idle-only,override,Chestnut-nut specialist weevil; female drills nuts in canopy and adults move only sluggishly on foliage.,
curculio-glandium,insect,tree-canopy,idle-only,override,Acorn weevil whose entire life cycle revolves around oak acorns; adults barely move at sprite scale.,
curculio-nucum,insect,tree-canopy,idle-only,override,Hazel-nut specialist weevil; larvae inside nuts and adults stationary on hazel foliage.,
curculionoidea,insect,tree-canopy,idle-only,override,100+ Salix-associated weevil species feeding on leaves/bark; leaf feeders not pollinators.,
cyanistes,bird,tree-canopy,tree-flitter,default,Blue and great tits are quintessential small canopy songbirds matching bird defaults exactly.,
