slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
cyanistes-caeruleus,bird,tree-canopy,tree-flitter,default,Small songbirds that actively flit between canopy branches of 17 host tree genera in Amsterdam.,
cyanistes-caeruleus-parus-major,bird,tree-canopy,tree-flitter,default,Blue/Great Tit canopy foraging on hazel is identical to the default bird behaviour.,
cyanistes-parus,bird,tree-canopy,tree-flitter,default,Paridae family aggregate on four genera — default songbird placement applies without modification.,
cydia-illutana,insect,tree-canopy,idle-only,override,Larvae concealed in larch cones; adults rest motionless — no flower-visiting behaviour.,
cydia-pomonella,insect,tree-canopy,idle-only,override,Fruit-boring larvae hidden in apple/pear/walnut; adults are cryptic nocturnal resting moths.,
cydia-splendana,insect,tree-canopy,idle-only,override,Larvae bore into chestnut nuts; adults rest still on bark — no flower-bobbing behaviour.,
cynipidae,insect,tree-canopy,idle-only,override,Observable as stationary gall structures on oak foliage; adults are too tiny to animate in flight.,
dasineura-pyri,insect,tree-canopy,idle-only,override,Larvae hidden in rolled pear leaf margins; the observable sign is stationary curled foliage.,
dendrocopos-major,bird,tree-bark;tree-canopy,tree-flitter;idle-only,override,Woodpecker is a bark specialist that drills while stationary then flits to nearby trees.,
dendrocopos-major-sitta-europaea,bird,tree-bark;tree-canopy,tree-flitter;idle-only,override,Woodpecker and Nuthatch both work the bark surface with long stationary foraging bouts between tree-flitter flights.,
diaspididae,insect,tree-bark,idle-only,override,Armoured scales are permanently sedentary on bark; mealybugs barely move — no flower-visitor relevance.,
diaspididae-pseudococcidae,insect,tree-bark,idle-only,override,Same bark-anchored sedentary sap-feeding guild as diaspididae slug but on Nyssa.,
diprion-pini,insect,tree-canopy,idle-only,override,Larvae feed gregariously in motionless clusters on pine needles; no flower-visiting occurs.,
diptera-hymenoptera-coleoptera,insect,flower-visitor,flower-bobber,default,Diverse pollinator guild visiting hawthorn blossom — insect defaults fit exactly.,
dorcus-parallelipipedus,insect,tree-bark;ground-park,idle-only,override,Saproxylic beetle found stationary on dead wood and stumps; no flower-visitor behaviour.,
drepanosiphum-platanoidis,insect,tree-canopy,idle-only,override,Sedentary aphid colonies on maple leaf undersides; no locomotion meaningful at sprite scale.,
dryocosmus-kuriphilus,insect,tree-canopy,idle-only,override,Invasive gall wasp visible only as stationary galls on chestnut canopy foliage.,
dysaphis-plantaginea-aphis-pomi,insect,tree-canopy,idle-only,override,Sedentary leaf-curling aphids on apple shoots and leaf undersides in the canopy.,
dysaphis-pyri,insect,tree-canopy,idle-only,override,Pear aphids form sedentary colonies on leaf undersides causing characteristic reddening.,
dysaphis-sorbi,insect,tree-canopy,idle-only,override,Aphid and woolly aphid guild on rowan/whitebeam — sedentary feeders across leaf and bark surfaces.,
elasmostethus-interstinctus,insect,tree-canopy,idle-only,override,Birch shieldbug rests motionless on birch leaves and catkins; rarely seen in active flight.,
elatobium-abietinum,insect,tree-canopy,idle-only,override,Spruce aphids form sedentary needle-feeding colonies; no flower-visitor relevance on conifers.,
enarmonia-formosana,insect,tree-bark,idle-only,override,Bark-boring larvae on Prunus trunks; adults rest immobile on bark during day.,
endromis-versicolora,insect,tree-canopy,idle-only,override,Birch moth larvae are leaf-feeders that rest still; adults are large day-resting moths on bark or foliage.,
eriophyes,arachnid,tree-canopy,idle-only,override,Microscopic leaf-surface mites on hawthorn visible only as stationary gall structures; tree-canopy is more specific than the arachnid default of anywhere.,
eriophyes-tiliae,arachnid,tree-canopy,idle-only,override,Lime nail gall mites produce distinctive stationary galls on linden leaf surfaces throughout Amsterdam.,
eucallipterus-tiliae,insect,tree-canopy,idle-only,override,Lime aphid forms stationary honeydew-producing colonies on linden leaf undersides across the city.,
euceraphis-betulae,insect,tree-canopy,idle-only,override,Silver birch aphid is a sedentary leaf-underside feeder on birch canopy; dispersal flights are brief.,
fascista-cercerisella,insect,tree-canopy,idle-only,override,Redbud leaf-folder larvae shelter in folded Cercis leaves; adults rest motionless on foliage.,
