slug,common_name,latin_name,tree_genera,has_photo,tree_count
buprestidae,Wood-boring beetles,"Buprestidae, Cerambycidae larvae",Celtis,true,1
cacopsylla-pyri,Pear psylla,Cacopsylla pyri / C. pyricola,Pyrus,true,1
callipterinella,Other birch aphids,"Callipterinella, Symydobius / Aphidoidea",Betula,true,1
cameraria-ohridella,Horse-chestnut leaf miner,Cameraria ohridella / Gracillariidae,Aesculus,true,1
capreolus-capreolus,Roe deer browsing,Capreolus capreolus,Pterocarya,true,1
carduelis,Opportunistic city birds,"Carduelis, Passer",Ailanthus,true,1
carduelis-carduelis,European Goldfinch,Carduelis carduelis,Alnus;Liquidambar;Ulmus;Zelkova,true,4
carduelis-carduelis-spinus-spinus,Goldfinch & siskin,"Carduelis carduelis, Spinus spinus / Fringillidae",Ostrya,true,1
carulaspis,Juniper / cypress scales and mites,"Carulaspis spp., spider mites",Chamaecyparis,true,1
carulaspis-juniper-scale,Scale insects,"Carulaspis spp., juniper scale",Cupressocyparis,true,1
carulaspis-juniperi,Juniper scale,"Carulaspis juniperi, Diaspididae",Thuja,true,1
cecidophyopsis-psilaspis,Yew big-bud mite,"Cecidophyopsis psilaspis, Eriophyidae",Taxus,true,1
cedrobium-laportei,Cedar woolly aphid,Cedrobium laportei,Cedrus,false,1
celastrina-argiolus,Holly Blue butterfly,"Celastrina argiolus, Lycaenidae",Ilex,true,1
cerambycidae,Wood-boring beetles & longhorns,"Cerambycidae, in declining trees",Aesculus,true,1
ceratomia-catalpae,Catalpa sphinx,Ceratomia catalpae,Catalpa,true,1
certhia-familiaris,Treecreeper,Certhia familiaris,Cedrus;Taxus,true,2
certhia-sitta,Bark-foraging birds,"Treecreeper, Nuthatch — Certhia / Sitta",Pterocarya,true,1
cerura,Puss moth & sallow kitten,"Cerura/Furcula, Notodontidae",Populus,true,1
cetonia-aurata,Rose chafers,Cetonia aurata / Scarabaeidae,Magnolia,true,1
chalcidoidea,Parasitoid wasps of the leaf miner,"Chalcidoidea, esp. Chrysocharis, Pleurotropis",Ilex;Magnolia,true,2
chionaspis-gleditsiae,Armored scale,Chionaspis gleditsiae and others,Gleditsia,true,1
chloris,Greenfinch / Goldfinch,Chloris / Carduelis,Laburnum;Liquidambar,true,2
chloris-chloris,Greenfinch & House Sparrow,Chloris chloris / Passer domesticus,Styphnolobium,true,1
chloris-chloris-prunella-modularis-troglodytes-troglodytes-erithacus-rubecula,Greenfinch / Dunnock / Wren / Robin,Chloris chloris / Prunella modularis / Troglodytes troglodytes / Erithacus rubecula,Cupressocyparis,true,1
choristoneura,Spruce / larch budworm complex,"Choristoneura, Tortricidae",Larix,true,1
chromaphis-juglandicola,Small walnut aphid,"Chromaphis juglandicola, Aphididae",Juglans,true,1
chrysomela-populi,Poplar leaf beetles,"Chrysomela populi, C. tremula",Populus,true,1
cinara-cedri,Cedar aphid,Cinara cedri,Cedrus,true,1
