slug,category,habitat_classes,movement_classes,source,reason,photo_suggestion
obolodiplosis-robiniae,insect,tree-canopy,idle-only,override,Leaf-roll gall midge spends entire life cycle in Robinia canopy with no flower-foraging phase.,
operophtera-brumata,insect,tree-canopy,idle-only,override,Foliage-feeding caterpillars live in the canopy and remain sedentary by day; not flower-foragers.,
operophtera-brumata-etc,insect,tree-canopy,idle-only,override,Geometrid caterpillars are canopy-bound foliage feeders with no ground or flower-visiting stage.,
opisthograptis-luteolata,insect,tree-canopy,idle-only,override,Brimstone moth and grey dagger caterpillars feed in the canopy and rest motionless during the day.,
orthosia,insect,tree-canopy,idle-only,override,Orthosia moth caterpillars are canopy foliage-feeders on Salix with no pollinator role.,
osmia,insect,flower-visitor,flower-bobber,default,Mason and mining bees are classic spring pollinators that bob between blooms on Cercis and Prunus.,
pachypsylla,insect,tree-canopy,idle-only,override,Hackberry psyllids are phloem-feeders permanently settled inside galls on Celtis foliage.,
panaphis-juglandis,insect,tree-canopy,idle-only,override,Large walnut aphid colonies are sedentary on Juglans leaf veins with no flower or ground phase.,
paracolopha-morrisoni,insect,tree-canopy,idle-only,override,Zelkova gall aphid lives inside leaf-fold galls on Zelkova with no external movement visible.,
parectopa-robiniella,insect,tree-canopy,idle-only,override,Leafminer moth larvae are confined inside Robinia leaf tissue throughout their development.,
paridae-aegithalidae,bird,tree-canopy,tree-flitter,default,Blue tit, great tit, and long-tailed tit are classic canopy insectivores that flit between trees.,
parthenolecanium-corni,insect,tree-bark,idle-only,override,Lecanium scale adults are permanently fixed to bark surface under waxy covers; not flower-visitors.,
parus-major,bird,tree-canopy,tree-flitter,default,Great tit and blue tit are archetypal Amsterdam canopy birds that flit actively between trees.,
parus-pipistrellus,bird,tree-canopy,idle-only,override,Observation context is roosting and cavity use in Pterocarya; idle-only suits resting state better than tree-flitter.,
passer,bird,wall-and-roof;tree-canopy,urban-walker;tree-flitter,override,House sparrow (wall-and-roof urban-walker) and great tit (tree-canopy tree-flitter) need dual tags.,
passer-domesticus,bird,tree-canopy,idle-only,override,House sparrow and wood pigeon recorded as roosting in Catalpa and Paulownia canopy; idle-only suits roosting context.,
passer-domesticus-montanus,bird,wall-and-roof;ground-urban,urban-walker,override,House and tree sparrows are building-nesting pavement foragers; wall-and-roof and ground-urban with urban-walker.,
pauesia-anatolica,insect,tree-canopy,idle-only,override,Aphid parasitoid wasp hunts Cedrus canopy for aphid hosts; not a flower-forager.,
periparus-ater,bird,tree-canopy,tree-flitter,default,Coal tit is a conifer-canopy specialist that flits energetically between needle-bearing trees.,
phloeosinus-aubei,insect,tree-bark,idle-only,override,Cypress bark beetle bores beneath bark of Metasequoia; detected by exit holes not surface activity.,
phloeosinus-metasequoiae,insect,tree-bark,idle-only,override,Scolytine bark beetle spends entire life cycle inside Metasequoia bark; no visible surface presence.,
phyllaphis-fagi,insect,tree-canopy,idle-only,override,Woolly beech aphid colonies are sedentary on Fagus leaf undersides with no flower-visiting role.,
phyllobius-intrusus,insect,tree-canopy,idle-only,override,Arborvitae weevil is a slow-moving foliage-feeder on Thuja canopy; not a pollinator.,
phyllonorycter,insect,tree-canopy,idle-only,override,Leafminer micro-moth larvae develop entirely inside Castanea leaf tissue; entirely sedentary.,
phyllonorycter-esperella,insect,tree-canopy,idle-only,override,Gracillariid leafminers live inside Carpinus leaves; no flower-visiting role at any observed stage.,
phytomyza-ilicis,insect,tree-canopy,idle-only,override,Holly leaf miner larva is enclosed within Ilex leaf lamina throughout development; does not move.,
phytophthora-lateralis,fungus,tree-rooted,none,override,Root and crown pathogen infects Chamaecyparis belowground; tree-rooted overrides default tree-bark.,
phytoptus-avellanae-big-bud-mite,arachnid,tree-canopy,idle-only,override,Microscopic eriophyid mite lives inside Corylus buds; tree-canopy overrides default anywhere.,
pica,bird,anywhere,tree-flitter;urban-walker,override,Magpie and carrion crow are urban omnivore corvids that alternate tree perching and pavement foraging.,
